Challenge,WT,T8A,N3A,WT-T8A,WT-N3A,T8A-N3A,TP,TN
Primary,7770,0,112000,0,20900,1080,0,938250
Primary,9550,1930,35300,2840,20000,0,3870,1066510
Primary,667,0,116000,0,14100,0,2720,805513
Memory,0,0,32500,8090,0,0,0,900410
Memory,0,0,12500,0,0,0,0,457500
Memory,1300,1300,61600,0,1300,0,0,456500
WT challenge,53900,1630,179000,7650,361000,0,20400,626420
WT challenge,43700,0,157000,1980,223000,333,30700,443287
WT challenge,37800,4040,253000,191000,44700,3500,218000,597960
T8A challenge,526,11100,104000,12200,0,1560,1050,1069564
T8A challenge,0,10000,48000,683,347,3780,0,462190
T8A challenge,18700,5260,41300,4580,3150,353,1050,544607
T8A challenge,0,4650,95500,132000,620,620,20400,1156210
N3A challenge,24400,5530,250000,8790,778000,781,4880,2177619
N3A challenge,612,2370,330000,1870,14000,1870,1210,898068
N3A challenge,971,1940,105000,1940,51000,971,2990,1325188
