Challenge,WT,T8A,N3A,WT+T8A,WT+N3A,T8A+N3A,TP,TN
Primary,0.0015,0.00024912280701754383,0.0009912280701754386,0.0,0.0007385964912280702,0.0,0.00024912280701754383,0.9962719298245614
Primary,0.0027,0.0,0.0,0.0012,0.00389375,0.0,0.000389375,0.991816875
Primary,0.00169672131147541,0.0,0.0002401639344262295,0.0,0.000489344262295082,0.0,0.0009754098360655738,0.9965983606557377
Memory,0.0031137724550898203,0.0,0.005,0.00038023952095808384,0.0023023952095808384,0.0,0.0023023952095808384,0.9869011976047904
Memory,0.003704994192799071,0.0,0.0007305458768873403,0.0,0.0007305458768873403,0.0,0.0,0.9948339140534262
Memory,0.0005518072289156627,0.0,0.0044156626506024095,0.0,0.0022048192771084336,0.0,0.0,0.9928277108433735
WT challenge,0.007301075268817204,0.0,0.0017956989247311828,0.0026021505376344085,0.0378494623655914,0.0,0.009698924731182796,0.940752688172043
WT challenge,0.01263157894736842,0.0,0.003,0.0020964912280701754,0.05,0.0,0.024035087719298246,0.9082368421052631
WT challenge,0.012096317280453258,0.00016005665722379603,0.0016005665722379602,0.03881019830028329,0.0015014164305949009,0.00016005665722379603,0.003101983002832861,0.9425694050991501
T8A challenge,0.0005701149425287357,0.0057011494252873565,0.0006,0.0025977011494252873,0.00010988505747126437,0.0,3.770114942528735e-05,0.9903834482758621
T8A challenge,0.002605263157894737,0.006403508771929824,0.003701754385964912,0.0008771929824561404,0.0007912280701754386,0.0003605263157894737,9.12280701754386e-05,0.9851692982456141
T8A challenge,0.00978932584269663,0.005393258426966292,0.002401685393258427,0.002303370786516854,0.003202247191011236,5.0702247191011234e-05,0.0008595505617977528,0.9759998595505618
T8A challenge,0.0017884615384615385,0.0007961538461538462,0.0013942307692307691,0.015192307692307692,0.0003980769230769231,0.0,0.00020865384615384615,0.9802221153846153
N3A challenge,0.0040097560975609755,0.0014048780487804877,0.005121951219512195,0.0034097560975609757,0.0721951219512195,0.0,0.0,0.9138585365853659
N3A challenge,0.001997439180537772,0.0006005121638924456,0.04916773367477593,0.00029961587708066584,0.0009001280409731114,0.0,0.0,0.94703457106274
N3A challenge,0.0015018050541516245,0.00018014440433212995,0.0044043321299638985,0.0007292418772563177,0.007906137184115524,0.00037184115523465703,0.0005487364620938628,0.9843577617328519
