Challenge,WT,T8A,N3A,WT-T8A,WT-N3A,T8A-N3A,TP,TN
Primary,7660,71600,0,5140,0,0,0,730600
Primary,15300,24200,1290,89100,0,0,0,632110
Primary,5750,13300,56200,6670,927,927,927,533299
Primary,10900,21700,0,0,0,0,0,775400
Primary,10200,14200,2020,2020,0,0,0,811560
Primary,781,109000,590,35200,0,0,190,1754239
Primary,3440,117000,544,116000,0,745,6300,2615971
Primary,465,113000,1900,10300,0,224,224,1593887
Memory,2720,1170,0,2330,0,0,0,173780
Memory,2290,2290,0,2870,0,0,0,103550
Memory,1760,882,0,441,0,0,0,53517
Memory,2970,2970,0,1490,0,0,0,157570
WT challenge,113000,237000,14700,2870000,0,0,37700,17727600
WT challenge,24000,1760000,5710,1360000,1140,0,1140,11848010
WT challenge,47100,717000,5220,168000,875,437,875,11760493
WT challenge,52100,485000,148,1160000,297,0,4630,6557825
T8A challenge,0,716000,716000,0,0,716000,0,3912000
T8A challenge,4920,323000,93700,111000,1320,7760,2170,2046130
T8A challenge,12900,3820000,4770000,688000,16100,1950000,278000,8365000
T8A challenge,21200,2560000,3100000,254000,10100,989000,74100,8091600
T8A challenge,15400,2910000,5940000,408000,11200,1370000,161000,13584400
N3A challenge,5490,16500,2750,1100,1100,0,550,7822510
N3A challenge,4900,27100,16800,11500,2320,0,3100,12834280
N3A challenge,2470,56100,13300,20000,11400,818,0,9405912
N3A challenge,15000,44100,13400,42600,2840,0,8670,7753390
N3A challenge,2560,22900,1830,8960,3930,0,360,9099460
