Challenge,WT,T8A,N3A,WT-T8A,WT-N3A,T8A-N3A,TP,TN
Primary,0,1840000,0,0,0,0,0,6690000
Primary,0,368000,0,1280000,0,0,0,5142000
Primary,0,0,0,518000,0,0,0,6612000
Primary,68600,825000,0,0,0,0,0,3716400
Primary,117000,117000,0,0,0,0,0,3386000
Memory,33300,30700,2810,11100,2810,0,0,6459280
Memory,56100,29400,0,22900,0,0,0,6421600
Memory,12800,18500,0,9250,3130,0,3130,7073190
Memory,50800,10500,0,2660,2660,0,0,7993380
Memory,51300,76500,17100,27900,16200,0,0,8811000
Memory,2950,4420,0,0,0,0,0,265630
Memory,57500,32700,9950,10700,7100,0,0,6982050
WT challenge,21900,18000,0,457000,0,0,1630,1901470
WT challenge,13400,274000,0,652000,0,0,0,2330600
WT challenge,113000,223000,0,346000,0,0,0,4458000
WT challenge,76400,383000,0,1770000,1340,0,1340,5647920
T8A challenge,6110,6860000,6110,102000,0,90500,12000,15523280
T8A challenge,18100,606000,9160,336000,0,0,0,10330740
T8A challenge,6320,3540000,6320,99100,0,0,0,8748260
T8A challenge,5340,1370000,18900,82700,0,0,0,7133060
T8A challenge,22500,5240000,0,176000,0,0,0,15061500
N3A challenge,12100,28200,34300,6050,7060,0,4030,10008260
N3A challenge,16500,7680,49600,28900,3800,0,15700,8137820
N3A challenge,2370,3730,56900,7110,13600,0,469,5835821
N3A challenge,43900,6020,35800,24300,3990,0,0,6645990
N3A challenge,2810,2810,17000,2810,19600,0,0,5254970
