Challenge,WT,T8A,N3A,WT-T8A,WT-N3A,T8A-N3A,TP,TN
Primary,0.007194444444444444,0.0,0.1037037037037037,0.0,0.019351851851851853,0.001,0.0,0.86875
Primary,0.008377192982456141,0.001692982456140351,0.030964912280701754,0.0024912280701754387,0.017543859649122806,0.0,0.0033947368421052633,0.9355350877192983
Primary,0.0007103301384451544,0.0,0.1235356762513312,0.0,0.015015974440894569,0.0,0.0028966986155484556,0.8578413205537806
Memory,0.0,0.0,0.03453772582359192,0.008597236981934113,0.0,0.0,0.0,0.9568650371944739
Memory,0.0,0.0,0.026595744680851064,0.0,0.0,0.0,0.0,0.973404255319149
Memory,0.0024904214559386974,0.0024904214559386974,0.11800766283524904,0.0,0.0024904214559386974,0.0,0.0,0.8745210727969349
WT challenge,0.04312,0.001304,0.1432,0.00612,0.2888,0.0,0.01632,0.501136
WT challenge,0.04855555555555555,0.0,0.17444444444444446,0.0022,0.2477777777777778,0.00037,0.03411111111111111,0.4925411111111111
WT challenge,0.028,0.0029925925925925927,0.1874074074074074,0.14148148148148149,0.03311111111111111,0.0025925925925925925,0.16148148148148148,0.44293333333333335
T8A challenge,0.0004383333333333333,0.00925,0.08666666666666667,0.010166666666666666,0.0,0.0013,0.000875,0.8913033333333333
T8A challenge,0.0,0.01904761904761905,0.09142857142857143,0.001300952380952381,0.000660952380952381,0.0072,0.0,0.8803619047619048
T8A challenge,0.030210016155088854,0.008497576736672051,0.0667205169628433,0.007399030694668821,0.005088852988691438,0.0005702746365105008,0.0016962843295638126,0.8798174474959612
T8A challenge,0.0,0.003297872340425532,0.06773049645390071,0.09361702127659574,0.0004397163120567376,0.0004397163120567376,0.01446808510638298,0.8200070921985816
N3A challenge,0.007507692307692308,0.0017015384615384616,0.07692307692307693,0.0027046153846153847,0.2393846153846154,0.0002403076923076923,0.0015015384615384615,0.6700366153846153
N3A challenge,0.0004896,0.001896,0.264,0.001496,0.0112,0.001496,0.000968,0.7184544
N3A challenge,0.0006516778523489933,0.001302013422818792,0.07046979865771812,0.001302013422818792,0.03422818791946309,0.0006516778523489933,0.0020067114093959733,0.8893879194630873
