Challenge,WT,T8A,N3A,WT-T8A,WT-N3A,T8A-N3A,TP,TN
Primary,0.004701670644391408,0.003389021479713604,0.005990453460620525,0.0,0.005990453460620525,0.0,0.0,0.9799284009546539
Primary,0.00951048951048951,0.0060979020979020975,0.00086993006993007,0.0078041958041958044,0.005202797202797203,0.00086993006993007,0.0017062937062937062,0.9679384615384615
Primary,0.0023975409836065574,0.003709016393442623,0.00430327868852459,0.0,0.003094262295081967,0.0,0.004897540983606557,0.9815983606557377
Memory,0.0025955734406438633,0.0,0.007796780684104628,0.0,0.0,0.0012977867203219317,0.005201207243460765,0.9831086519114688
Memory,0.006301824212271974,0.001,0.0,0.0,0.0021061359867330016,0.0,0.0,0.990592039800995
Memory,0.0013008356545961004,0.0,0.007701949860724234,0.0,0.0,0.0,0.0,0.9909972144846797
WT challenge,0.03932584269662921,0.000700374531835206,0.001198501872659176,0.006292134831460674,0.23370786516853934,0.0,0.060674157303370786,0.6581011235955057
WT challenge,0.07616822429906542,0.00015981308411214953,0.0012990654205607478,0.0032009345794392526,0.21495327102803738,0.0,0.08224299065420561,0.6219757009345794
WT challenge,0.043821138211382116,0.0038943089430894307,0.0036910569105691056,0.29024390243902437,0.009105691056910569,0.0001894308943089431,0.035691056910569105,0.6133634146341463
T8A challenge,0.00033003300330033004,0.012805280528052805,0.0015016501650165018,0.006006600660066007,0.00011006600660066007,0.0,0.0,0.9792463696369637
T8A challenge,0.0014988764044943821,0.02208988764044944,0.004089887640449438,0.001298876404494382,0.0014988764044943821,0.0009393258426966292,0.0003101123595505618,0.9682741573033707
T8A challenge,0.027787934186471665,0.008702010968921389,0.00340036563071298,0.011005484460694699,0.0025045703839122486,0.00033089579524680075,0.00170018281535649,0.9445685557586837
T8A challenge,0.0009323671497584541,0.003502415458937198,0.0022995169082125604,0.06763285024154589,0.0005314009661835749,0.0,0.0005314009661835749,0.9245700483091788
N3A challenge,0.012222222222222223,0.004193548387096774,0.010501792114695341,0.00971326164874552,0.23405017921146953,0.0,0.00023010752688172042,0.7290888888888889
N3A challenge,0.0027007575757575755,0.0,0.18106060606060606,0.00045075757575757577,0.0057954545454545455,0.0,0.0,0.8099924242424242
N3A challenge,0.003602803738317757,0.00048130841121495326,0.009485981308411214,0.0037990654205607476,0.02850467289719626,0.00048130841121495326,0.0007102803738317757,0.9529345794392523
