Challenge,WT,T8A,N3A,WT-T8A,WT-N3A,T8A-N3A,TP,TN
Primary,19700,14200,25100,0,25100,0,0,4105900
Primary,68000,43600,6220,55800,37200,6220,12200,6920760
Primary,11700,18100,21000,0,15100,0,23900,4790200
Memory,2580,0,7750,0,0,1290,5170,977210
Memory,38000,6030,0,0,12700,0,0,5973270
Memory,9340,0,55300,0,0,0,0,7115360
WT challenge,1050000,18700,32000,168000,6240000,0,1620000,17571300
WT challenge,3260000,6840,55600,137000,9200000,0,3520000,26620560
WT challenge,539000,47900,45400,3570000,112000,2330,439000,7544370
T8A challenge,2000,77600,9100,36400,667,0,0,5934233
T8A challenge,6670,98300,18200,5780,6670,4180,1380,4308820
T8A challenge,152000,47600,18600,60200,13700,1810,9300,5166790
T8A challenge,1930,7250,4760,140000,1100,0,1100,1913860
N3A challenge,341000,117000,293000,271000,6530000,0,6420,20341580
N3A challenge,7130,0,478000,1190,15300,0,0,2138380
N3A challenge,77100,10300,203000,81300,610000,10300,15200,20392800
