Challenge,WT,T8A,N3A,WT-T8A,WT-N3A,T8A-N3A,TP,TN
Primary,0.00939877300613497,0.08785276073619631,0.0,0.006306748466257669,0.0,0.0,0.0,0.896441717791411
Primary,0.020078740157480315,0.031758530183727034,0.0016929133858267717,0.11692913385826771,0.0,0.0,0.0,0.8295406824146981
Primary,0.0093042071197411,0.021521035598705503,0.09093851132686084,0.010792880258899677,0.0015,0.0015,0.0015,0.8629433656957929
Primary,0.01349009900990099,0.026856435643564356,0.0,0.0,0.0,0.0,0.0,0.9596534653465346
Primary,0.012142857142857143,0.016904761904761905,0.0024047619047619048,0.0024047619047619048,0.0,0.0,0.0,0.9661428571428572
Primary,0.00041105263157894737,0.057368421052631575,0.00031052631578947366,0.018526315789473686,0.0,0.0,0.0001,0.9232836842105263
Primary,0.0012027972027972029,0.04090909090909091,0.0001902097902097902,0.04055944055944056,0.0,0.0002604895104895105,0.002202797202797203,0.9146751748251748
Primary,0.0002703488372093023,0.06569767441860465,0.0011046511627906977,0.005988372093023255,0.0,0.00013023255813953487,0.00013023255813953487,0.926678488372093
Memory,0.015111111111111112,0.0065,0.0,0.012944444444444444,0.0,0.0,0.0,0.9654444444444444
Memory,0.02063063063063063,0.02063063063063063,0.0,0.025855855855855855,0.0,0.0,0.0,0.9328828828828829
Memory,0.03109540636042403,0.01558303886925795,0.0,0.007791519434628975,0.0,0.0,0.0,0.945530035335689
Memory,0.018,0.018,0.0,0.00903030303030303,0.0,0.0,0.0,0.954969696969697
WT challenge,0.005380952380952381,0.011285714285714286,0.0007,0.13666666666666666,0.0,0.0,0.0017952380952380952,0.8441714285714286
WT challenge,0.0016,0.11733333333333333,0.0003806666666666667,0.09066666666666667,7.6e-05,0.0,7.6e-05,0.7898673333333334
WT challenge,0.0037086614173228345,0.05645669291338583,0.0004110236220472441,0.013228346456692913,6.889763779527559e-05,3.440944881889764e-05,6.889763779527559e-05,0.9260230708661418
WT challenge,0.006307506053268765,0.05871670702179177,1.7917675544794188e-05,0.14043583535108958,3.595641646489104e-05,0.0,0.0005605326876513317,0.7939255447941889
T8A challenge,0.0,0.11815181518151815,0.11815181518151815,0.0,0.0,0.11815181518151815,0.0,0.6455445544554456
T8A challenge,0.0018996138996138995,0.1247104247104247,0.03617760617760618,0.04285714285714286,0.0005096525096525096,0.002996138996138996,0.0008378378378378379,0.790011583011583
T8A challenge,0.0006482412060301508,0.19195979899497487,0.23969849246231156,0.03457286432160804,0.0008090452261306533,0.09798994974874371,0.013969849246231156,0.42035175879396985
T8A challenge,0.0014039735099337749,0.1695364238410596,0.2052980132450331,0.016821192052980133,0.0006688741721854305,0.06549668874172185,0.004907284768211921,0.5358675496688742
T8A challenge,0.0006311475409836065,0.11926229508196722,0.24344262295081967,0.016721311475409836,0.00045901639344262296,0.05614754098360656,0.006598360655737705,0.5567377049180328
N3A challenge,0.0006993630573248408,0.002101910828025478,0.0003503184713375796,0.00014012738853503185,0.00014012738853503185,0.0,7.006369426751592e-05,0.9964980891719746
N3A challenge,0.00037984496124031006,0.0021007751937984495,0.0013023255813953488,0.0008914728682170543,0.00017984496124031008,0.0,0.00024031007751937984,0.9949054263565892
N3A challenge,0.00025972660357518403,0.005899053627760252,0.001398527865404837,0.002103049421661409,0.0011987381703470032,8.601472134595163e-05,0.0,0.9890548895899054
N3A challenge,0.0019035532994923859,0.005596446700507614,0.001700507614213198,0.005406091370558376,0.0003604060913705584,0.0,0.001100253807106599,0.9839327411167512
N3A challenge,0.0002800875273522976,0.0025054704595185995,0.00020021881838074398,0.0009803063457330416,0.0004299781181619256,0.0,3.938730853391685e-05,0.9955645514223195
