Challenge,WT,T8A,N3A,WT-T8A,WT-N3A,T8A-N3A,TP,TN
Primary,0.035842293906810034,0.013405017921146954,0.14802867383512544,0.004802867383512545,0.032939068100358425,0.0004802867383512545,0.005197132616487455,0.7593046594982079
Primary,0.06403508771929825,0.008289473684210527,0.05482456140350877,0.03846491228070176,0.024473684210526314,0.0007675438596491228,0.006885964912280702,0.8022587719298245
Primary,0.07470355731225296,0.02533596837944664,0.08300395256916997,0.027865612648221343,0.05454545454545454,0.0021027667984189723,0.014031620553359684,0.7184110671936759
Primary,0.041935483870967745,0.010117302052785923,0.09296187683284457,0.016510263929618768,0.018504398826979473,0.0016011730205278591,0.008797653958944282,0.8095718475073314
Primary,0.05918367346938776,0.006122448979591836,0.1239795918367347,0.029285714285714286,0.049489795918367344,0.0005102040816326531,0.028316326530612244,0.7031122448979592
Memory,0.00708994708994709,0.0017989417989417989,0.0,0.0,0.0017989417989417989,0.0,0.0,0.9893121693121694
Memory,0.016417910447761194,0.0,0.0,0.0,0.0,0.0,0.0,0.9835820895522388
Memory,0.016196581196581197,0.0,0.0,0.0,0.0015,0.0,0.0,0.9823034188034188
Memory,0.014289855072463768,0.0,0.0,0.0014,0.002898550724637681,0.0,0.0,0.9814115942028986
WT challenge,0.18205128205128204,0.000641025641025641,0.000641025641025641,0.3164102564102564,0.0,0.0,0.0013025641025641026,0.49895384615384614
WT challenge,0.12831858407079647,0.013716814159292035,2.7964601769911505e-05,0.07424778761061947,0.010530973451327433,0.0,0.0016991150442477877,0.7714587610619469
WT challenge,0.04846153846153846,0.017350427350427352,0.03111111111111111,0.26666666666666666,0.034700854700854704,0.0,0.027777777777777776,0.5739316239316239
WT challenge,0.24608501118568232,0.0005794183445190157,0.0008702460850111857,0.050335570469798654,0.00029082774049217004,0.0,0.00029082774049217004,0.7015480984340045
T8A challenge,0.0,0.20824949698189135,0.05583501006036217,0.10764587525150905,0.0,0.010462776659959759,0.015694164989939637,0.602112676056338
T8A challenge,0.0032972322503008423,0.008303249097472924,0.04909747292418772,0.06125150421179302,0.0002394705174488568,0.00259927797833935,0.03838748495788207,0.8368243080625752
T8A challenge,0.0204,0.0164,0.04733333333333333,0.08866666666666667,0.003193333333333333,0.0006093333333333334,0.034466666666666666,0.7889306666666667
T8A challenge,0.0011008403361344539,0.025630252100840335,0.08823529411764706,0.009831932773109243,0.0002100840336134454,0.003596638655462185,0.0013025210084033614,0.8700924369747899
T8A challenge,0.0038880597014925374,0.03619402985074627,0.11343283582089553,0.04044776119402985,0.0009104477611940299,0.006082089552238806,0.05970149253731343,0.7393432835820896
T8A challenge,0.0016016949152542373,0.0702542372881356,0.06245762711864407,0.042542372881355935,0.0014067796610169492,0.006516949152542373,0.006516949152542373,0.8087033898305085
N3A challenge,0.027966101694915254,0.0,0.005805084745762712,0.00032062146892655367,0.1906779661016949,0.0,0.11497175141242938,0.6602584745762712
N3A challenge,0.003402328589909444,0.003402328589909444,0.09896507115135834,0.0,0.0,0.0,0.003402328589909444,0.8908279430789133
N3A challenge,0.038131868131868134,0.00033956043956043957,0.011978021978021978,0.015824175824175824,0.04813186813186813,0.0,0.026483516483516482,0.859110989010989
