Challenge,WT,T8A,N3A,WT+T8A,WT+N3A,T8A+N3A,TP,TN
Primary,43700,15500,133,11800,667,133,270,1347797
Primary,58400,7870,1010,36000,1010,133,831,1004746
Primary,65300,41600,2430,17100,2850,232,465,930023
Primary,28500,13300,2230,15100,994,201,927,1058748
Primary,24000,7350,1070,7140,1070,200,100,673070
Memory,3690,0,0,0,0,0,0,106310
Memory,2720,171,693,0,512,0,0,528904
Memory,4830,0,350,0,0,0,0,115820
Memory,6380,494,0,494,2450,0,0,166182
WT challenge,2460000,7530,17200,3100000,104000,0,109000,5002270
WT challenge,36000,31,2150,21700,3010,0,126,1366982
WT challenge,660000,80500,22700,1630000,158000,406,189000,4139394
WT challenge,659000,4780,252,94900,8300,0,906,1751862
T8A challenge,1420000,8710,561000,1080000,5220,69700,175000,8280370
T8A challenge,90300,65100,198000,486000,37900,11700,101000,8720000
T8A challenge,143000,95800,223000,632000,9160,7580,298000,6921460
T8A challenge,6060,60600,460000,16300,253,3260,2530,8500997
T8A challenge,15000,117000,953000,214000,2690,23900,343000,8311410
T8A challenge,14600,238000,489000,241000,6550,24600,59200,8027050
N3A challenge,78700,2500,29300,20800,396000,456,336000,5236244
N3A challenge,75100,3420,817000,3180,65500,1080,7810,5036910
N3A challenge,103000,5910,215000,42300,257000,625,201000,7165165
