Challenge,WT,T8A,N3A,WT-T8A,WT-N3A,T8A-N3A,TP,TN
Primary,25700,13200,0,8810,14100,980,3550,1353660
Primary,23300,8920,450,12600,2560,745,1320,726105
Primary,60100,45000,917,23400,26800,1240,2720,1539823
Primary,9800,4800,302,1490,1280,199,786,395343
Primary,97400,18300,0,22800,16400,0,11900,1983200
Memory,98400,0,0,0,0,0,3540,6458060
Memory,22800,0,0,0,0,0,0,2187200
Memory,17700,0,845,0,845,0,0,1340610
Memory,4960,0,235,469,704,0,0,254632
Memory,0,0,0,0,0,0,0,8710
Memory,29100,0,0,6530,0,0,0,2474370
Memory,49100,0,0,16400,4030,0,0,1610470
Memory,13300,0,0,37200,0,0,0,741500
Memory,42800,14300,0,7140,0,0,0,2095760
WT challenge,1700000,20000,5190,3390000,0,0,0,6684810
WT challenge,1250000,107000,0,628000,46100,0,53200,8115700
WT challenge,1270000,2070,2070,442000,0,0,2070,5171790
WT challenge,9250,823,0,61200,1220,0,823,318684
T8A challenge,10500,879000,2150,475000,2150,1050,40600,4739550
T8A challenge,10800,26600,1210,136000,4760,0,41200,2949430
T8A challenge,242000,257000,8310,932000,9740,4160,242000,10204790
T8A challenge,27000,314000,5930,70100,2370,0,1190,10379410
T8A challenge,22800,248000,3610,277000,3610,2360,288000,7014620
T8A challenge,27300,464000,0,224000,12500,0,15600,7046600
N3A challenge,174000,0,0,12800,529000,6570,1210000,6597630
N3A challenge,0,0,0,0,1310,0,0,34190
N3A challenge,152000,0,13200,104000,155000,0,115000,5190800
