Challenge,WT,T8A,N3A,WT+T8A,WT+N3A,T8A+N3A,TP,TN
Primary,0.0006602870813397129,0.008899521531100478,0.00037033492822966506,0.00019043062200956937,0.0005598086124401914,0.0008421052631578948,0.0005598086124401914,0.9879177033492823
Primary,0.0035026455026455025,0.013597883597883598,7.883597883597884e-05,0.0025026455026455024,0.0003201058201058201,0.0006296296296296296,0.00015978835978835979,0.9792084656084656
Primary,0.0031964809384164225,0.021114369501466276,0.0005395894428152492,0.0014017595307917888,0.0005395894428152492,0.0009912023460410557,0.0005395894428152492,0.9716774193548388
Primary,0.003796875,0.010859375,7.8125e-05,0.001296875,0.00046953125,0.00070859375,0.00023984375,0.98255078125
Primary,0.0015,0.005397350993377483,0.00021986754966887417,0.002801324503311258,0.0004304635761589404,0.0,0.0004304635761589404,0.9892205298013245
Memory,0.005726495726495726,0.00015042735042735043,0.00015042735042735043,0.00015042735042735043,0.0006025641025641026,0.0,0.0,0.9932196581196581
Memory,0.0039049586776859504,0.00014049586776859505,0.0,0.0,0.00014049586776859505,0.0,0.0,0.9958140495867769
Memory,0.006196013289036545,0.0,0.000420265780730897,0.0,0.0001398671096345515,0.0,0.00027906976744186045,0.9929647840531561
Memory,0.008696172248803829,0.0008397129186602871,0.0002799043062200957,0.0002799043062200957,0.0013995215311004784,0.0,0.0,0.9885047846889952
Memory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Memory,0.0031067961165048546,0.0,0.0,0.0023058252427184465,0.0,0.0,0.0,0.9945873786407767
Memory,0.008829268292682926,0.0,0.0,0.0036048780487804876,0.0004004878048780488,0.0,0.0,0.9871653658536585
Memory,0.0070881863560732115,0.0004392678868552413,0.0,0.014692179700499169,0.0,0.0,0.0,0.9777803660565724
Memory,0.011183431952662722,0.0006390532544378699,0.0,0.0013017751479289942,0.0006390532544378699,0.0,0.0,0.9862366863905325
WT challenge,0.049941860465116276,0.0,0.0003,0.06395348837209303,0.0,0.0,0.0,0.8858046511627907
WT challenge,0.015855855855855857,0.00034054054054054057,0.0014009009009009008,0.008333333333333333,0.0006936936936936937,0.0,0.0,0.9733756756756756
WT challenge,0.04015748031496063,0.0,0.0002703412073490814,0.024540682414698162,0.001300524934383202,0.0,0.0024015748031496064,0.9313293963254593
WT challenge,0.0034059945504087193,0.0001100817438692098,0.0,0.010817438692098093,0.0,0.0,0.000329700272479564,0.9853367847411444
T8A challenge,0.024189814814814813,0.0007407407407407407,0.00025,0.008599537037037037,0.0,0.0,0.0011006944444444445,0.965119212962963
T8A challenge,0.0022016129032258066,0.002,0.0,0.004798387096774193,0.0002,9.758064516129033e-05,0.0002,0.9905024193548387
T8A challenge,0.0034936350777934936,0.003705799151343706,0.0017963224893917963,0.006704384724186704,0.0003903818953323904,0.00019943422913719944,0.0027015558698727017,0.981008486562942
T8A challenge,0.0016957210776545166,0.006006339144215531,0.0,0.0001901743264659271,0.0001901743264659271,0.0,0.0,0.9919175911251981
T8A challenge,0.0013010899182561307,0.004100817438692098,0.00016076294277929154,0.001798365122615804,0.0,0.0,0.000329700272479564,0.9923092643051771
T8A challenge,0.002208695652173913,0.005808695652173913,0.00017008695652173913,0.0024,0.0,0.0,0.00017008695652173913,0.9892424347826086
N3A challenge,0.0037959183673469386,0.0,0.0,0.00044965986394557826,0.007619047619047619,0.0,0.017210884353741497,0.9709244897959184
N3A challenge,0.0016,0.00013,0.000651,0.00013,0.0,0.0,0.0,0.997489
N3A challenge,0.0039921875,0.00016953125,0.0,0.002390625,0.0016953125,0.0,0.00159375,0.99015859375
