Challenge,WT,T8A,N3A,WT+T8A,WT+N3A,T8A+N3A,TP,TN
Primary,1380,18600,774,398,1170,1760,1170,2064748
Primary,6620,25700,149,4730,605,1190,302,1850704
Primary,10900,72000,1840,4780,1840,3380,1840,3313420
Primary,4860,13900,100,1660,601,907,307,1257665
Primary,4530,16300,664,8460,1300,0,1300,2987446
Memory,134000,3520,3520,3520,14100,0,0,23241340
Memory,37800,1360,0,0,1360,0,0,9639480
Memory,37300,0,2530,0,842,0,1680,5977648
Memory,7270,702,234,234,1170,0,0,826390
Memory,0,0,0,0,0,0,0,51000
Memory,64000,0,0,47500,0,0,0,20488500
Memory,181000,0,0,73900,8210,0,0,20236890
Memory,42600,2640,0,88300,0,0,0,5876460
Memory,189000,10800,0,22000,10800,0,0,16667400
WT challenge,859000,0,5160,1100000,0,0,0,15235840
WT challenge,352000,7560,31100,185000,15400,0,0,21608940
WT challenge,306000,0,2060,187000,9910,0,18300,7096730
WT challenge,12500,404,0,39700,0,0,1210,3616186
T8A challenge,209000,6400,2160,74300,0,0,9510,8338630
T8A challenge,27300,24800,0,59500,2480,1210,2480,12282230
T8A challenge,24700,26200,12700,47400,2760,1410,19100,6935730
T8A challenge,10700,37900,0,1200,1200,0,0,6259000
T8A challenge,9550,30100,1180,13200,0,0,2420,7283550
T8A challenge,12700,33400,978,13800,0,0,978,5688144
N3A challenge,55800,0,0,6610,112000,0,253000,14272590
N3A challenge,16000,1300,6510,1300,0,0,0,9974890
N3A challenge,51100,2170,0,30600,21700,0,20400,12674030
