"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"T8A.N3A-TP",6.79089377323786e-11,-257092.053242523,257092.053242523,1
"WT-TP",433.333333333358,-256658.71990919,257525.386575857,1
"T8A-TP",433.333333333401,-256658.71990919,257525.386575857,1
"WT.N3A-TP",433.333333333401,-256658.71990919,257525.386575857,1
"WT.T8A-TP",2696.66666666673,-254395.386575857,259788.71990919,0.999999999993081
"N3A-TP",35533.3333333335,-221558.71990919,292625.386575857,0.999618873111527
"TN-TP",604803.333333333,347711.28009081,861895.386575857,9.81566817970236e-06
"WT-T8A.N3A",433.33333333329,-256658.71990919,257525.386575857,1
"T8A-T8A.N3A",433.333333333333,-256658.71990919,257525.386575857,1
"WT.N3A-T8A.N3A",433.333333333333,-256658.71990919,257525.386575857,1
"WT.T8A-T8A.N3A",2696.66666666666,-254395.386575857,259788.71990919,0.999999999993081
"N3A-T8A.N3A",35533.3333333334,-221558.71990919,292625.386575857,0.999618873111527
"TN-T8A.N3A",604803.333333333,347711.28009081,861895.386575857,9.81566817970236e-06
"T8A-WT",4.36557456851006e-11,-257092.053242523,257092.053242523,1
"WT.N3A-WT",4.36557456851006e-11,-257092.053242523,257092.053242523,1
"WT.T8A-WT",2263.33333333337,-254828.71990919,259355.386575857,0.999999999998045
"N3A-WT",35100.0000000001,-221992.053242523,292192.053242523,0.999648287110067
"TN-WT",604370,347277.946757477,861462.053242524,9.90682487189698e-06
"WT.N3A-T8A",0,-257092.053242523,257092.053242523,1
"WT.T8A-T8A",2263.33333333333,-254828.71990919,259355.386575857,0.999999999998045
"N3A-T8A",35100.0000000001,-221992.053242523,292192.053242523,0.999648287110067
"TN-T8A",604370,347277.946757477,861462.053242523,9.90682487189698e-06
"WT.T8A-WT.N3A",2263.33333333333,-254828.71990919,259355.386575857,0.999999999998045
"N3A-WT.N3A",35100.0000000001,-221992.053242523,292192.053242523,0.999648287110067
"TN-WT.N3A",604370,347277.946757477,861462.053242523,9.90682487189698e-06
"N3A-WT.T8A",32836.6666666667,-224255.386575857,289928.71990919,0.999773144243997
"TN-WT.T8A",602106.666666667,345014.613424144,859198.71990919,1.03975619547558e-05
"TN-N3A",569270,312177.946757477,826362.053242523,2.12308289574414e-05
