"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"T8A.N3A-WT.T8A",2.75993777826278e-06,-0.0288559162698791,0.0288614361454356,1
"WT-WT.T8A",0.000701449275362369,-0.028157226932295,0.0295601254830197,0.999999997510924
"T8A-WT.T8A",0.00213609327111153,-0.0267225829365458,0.0309947694787689,0.999994312477515
"TP-WT.T8A",0.00428622033297912,-0.0245724558746782,0.0331448965406365,0.999391265028504
"WT.N3A-WT.T8A",0.00933857598299682,-0.0195201002246605,0.0381972521906542,0.942718658672029
"N3A-WT.T8A",0.0535252344869011,0.0246665582792437,0.0823839106945585,0.00017986446464946
"TN-WT.T8A",0.918554594249103,0.889695918041446,0.94741327045676,2.26485497023532e-14
"WT-T8A.N3A",0.000698689337584107,-0.0281599868700733,0.0295573655452415,0.999999997578534
"T8A-T8A.N3A",0.00213333333333327,-0.0267253428743241,0.0309920095409906,0.999994362729047
"TP-T8A.N3A",0.00428346039520086,-0.0245752158124565,0.0331421366028582,0.999393797810916
"WT.N3A-T8A.N3A",0.00933581604521856,-0.0195228601624388,0.0381944922528759,0.94280133832852
"N3A-T8A.N3A",0.0535224745491228,0.0246637983414655,0.0823811507567802,0.000179971200780726
"TN-T8A.N3A",0.918551834311325,0.889693158103667,0.947410510518982,2.26485497023532e-14
"T8A-WT",0.00143464399574916,-0.0274240322119082,0.0302933202034065,0.999999636042599
"TP-WT",0.00358477105761675,-0.0252739051500406,0.0324434472652741,0.99981128813477
"WT.N3A-WT",0.00863712670763445,-0.0202215495000229,0.0374958029152918,0.961277010673104
"N3A-WT",0.0528237852115387,0.0239651090038814,0.0816824614191961,0.000209221626061962
"TN-WT",0.917853144973741,0.888994468766083,0.946711821181398,2.26485497023532e-14
"TP-T8A",0.00215012706186759,-0.0267085491457898,0.031008803269525,0.99999405103506
"WT.N3A-T8A",0.00720248271188529,-0.0216561934957721,0.0360611589195427,0.985469702123798
"N3A-T8A",0.0513891412157896,0.0225304650081322,0.0802478174234469,0.000285766996825032
"TN-T8A",0.916418500977991,0.887559824770334,0.945277177185649,2.26485497023532e-14
"WT.N3A-TP",0.0050523556500177,-0.0238063205576397,0.0339110318576751,0.998261417306177
"N3A-TP",0.049239014153922,0.0203803379462646,0.0780976903615793,0.000458844855381835
"TN-TP",0.914268373916124,0.885409697708466,0.943127050123781,2.26485497023532e-14
"N3A-WT.N3A",0.0441866585039043,0.0153279822962469,0.0730453347115616,0.00143436107880379
"TN-WT.N3A",0.909216018266106,0.880357342058449,0.938074694473763,2.26485497023532e-14
"TN-N3A",0.865029359762202,0.836170683554544,0.893888035969859,2.26485497023532e-14
