"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"T8A-WT.T8A",0.000333333333333366,-0.00727028639218075,0.00793695305884748,0.999999848026438
"T8A.N3A-WT.T8A",0.000432595573440599,-0.00717102415207352,0.00803621529895472,0.999999073044719
"WT.N3A-WT.T8A",0.000702045328910939,-0.00690157439660318,0.00830566505442506,0.999974261971824
"TP-WT.T8A",0.00173373574782018,-0.00586988397769394,0.0093373554733343,0.991347017996843
"WT-WT.T8A",0.00339941110250402,-0.0042042086230101,0.0110030308280181,0.772240020055886
"N3A-WT.T8A",0.00516624351494297,-0.00243737621057114,0.0127698632404571,0.325498875280476
"TN-WT.T8A",0.988232635399048,0.980629015673534,0.995836255124562,2.26485497023532e-14
"T8A.N3A-T8A",9.92622401072331e-05,-0.00750435748540689,0.00770288196562135,0.999999999967783
"WT.N3A-T8A",0.000368711995577573,-0.00723490772993655,0.00797233172109169,0.999999693736535
"TP-T8A",0.00140040241448681,-0.0062032173110273,0.00900402214000093,0.997613826759876
"WT-T8A",0.00306607776917065,-0.00453754195634347,0.0106696974946848,0.846452997637796
"N3A-T8A",0.00483291018160961,-0.00277070954390451,0.0124365299071237,0.399969208154797
"TN-T8A",0.987899302065714,0.9802956823402,0.995502921791229,2.26485497023532e-14
"WT.N3A-T8A.N3A",0.000269449755470339,-0.00733416997004378,0.00787306948098446,0.999999965439325
"TP-T8A.N3A",0.00130114017437958,-0.00630247955113454,0.0089047598998937,0.998494169821698
"WT-T8A.N3A",0.00296681552906342,-0.0046368041964507,0.0105704352545775,0.865896857446605
"N3A-T8A.N3A",0.00473364794150237,-0.00286997178401174,0.0123372676670165,0.423844109756669
"TN-T8A.N3A",0.987800039825607,0.980196420100093,0.995403659551121,2.26485497023532e-14
"TP-WT.N3A",0.00103169041890924,-0.00657192930660488,0.00863531014442336,0.999662275712654
"WT-WT.N3A",0.00269736577359308,-0.00490625395192104,0.0103009854991072,0.911568554978575
"N3A-WT.N3A",0.00446419818603204,-0.00313942153948208,0.0120678179115462,0.491911384618168
"TN-WT.N3A",0.987530590070137,0.979926970344623,0.995134209795651,2.26485497023532e-14
"WT-TP",0.00166567535468384,-0.00593794437083028,0.00926929508019796,0.993161240293493
"N3A-TP",0.00343250776712279,-0.00417111195839133,0.0110361274926369,0.764228289528415
"TN-TP",0.986498899651228,0.978895279925713,0.994102519376742,2.26485497023532e-14
"N3A-WT",0.00176683241243895,-0.00583678731307516,0.00937045213795307,0.990341276936498
"TN-WT",0.984833224296544,0.97722960457103,0.992436844022058,2.26485497023532e-14
"TN-N3A",0.983066391884105,0.975462772158591,0.990670011609619,2.26485497023532e-14
