"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"TP-T8A.N3A",0.000696088108759207,-0.202070142383345,0.203462318600863,1
"T8A-T8A.N3A",0.000837188779900156,-0.201929041712204,0.203603419272004,1
"WT.T8A-T8A.N3A",0.00103821442092578,-0.201728016071178,0.20380444491303,1
"WT-T8A.N3A",0.0020869948717949,-0.200679235620309,0.204853225363899,0.999999999993945
"WT.N3A-T8A.N3A",0.0941416059198072,-0.108624624572297,0.296907836411911,0.740017115231112
"N3A-T8A.N3A",0.136334963345379,-0.0664312671467244,0.339101193837483,0.336876046857677
"TN-T8A.N3A",0.758496983101015,0.555730752608911,0.961263213593119,1.59711369684956e-08
"T8A-TP",0.000141100671140949,-0.202625129820963,0.202907331163245,1
"WT.T8A-TP",0.000342126312166569,-0.202424104179937,0.20310835680427,1
"WT-TP",0.0013909067630357,-0.201375323729068,0.204157137255139,1
"WT.N3A-TP",0.093445517811048,-0.109320712681056,0.296211748303152,0.746558100548526
"N3A-TP",0.13563887523662,-0.0671273552554836,0.338405105728724,0.342490920117819
"TN-TP",0.757800894992256,0.555034664500152,0.96056712548436,1.61852496960435e-08
"WT.T8A-T8A",0.00020102564102562,-0.202565204851078,0.202967256133129,1
"WT-T8A",0.00124980609189475,-0.201516424400209,0.204016036583999,1
"WT.N3A-T8A",0.093304417139907,-0.109461813352197,0.296070647632011,0.747877532764263
"N3A-T8A",0.135497774565479,-0.0672684559266245,0.338264005057583,0.343636244989682
"TN-T8A",0.757659794321115,0.554893563829011,0.960426024813219,1.6229020460834e-08
"WT-WT.T8A",0.00104878045086913,-0.201717450041235,0.203815010942973,1
"WT.N3A-WT.T8A",0.0931033914988814,-0.109662838993222,0.295869621990985,0.749753472704731
"N3A-WT.T8A",0.135296748924454,-0.0674694815676501,0.338062979416557,0.345272136923874
"TN-WT.T8A",0.75745876868009,0.554692538187986,0.960224999172193,1.62915966273047e-08
"WT.N3A-WT",0.0920546110480123,-0.110711619444091,0.294820841540116,0.759464866906994
"N3A-WT",0.134247968473585,-0.0685182620185193,0.337014198965688,0.35388546751961
"TN-WT",0.75640998822922,0.553643757737117,0.959176218721324,1.66222308140007e-08
"N3A-WT.N3A",0.0421933574255722,-0.160572873066532,0.244959587917676,0.994966738756819
"TN-WT.N3A",0.664355377181208,0.461589146689104,0.867121607673312,1.07333219423467e-07
"TN-N3A",0.622162019755636,0.419395789263532,0.82492825024774,2.71533780682454e-07
