"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"TP-T8A.N3A",1819.33333333308,-787168.346258414,790807.01292508,1
"T8A-T8A.N3A",2072.66666666656,-786915.01292508,791060.346258413,1
"WT.T8A-T8A.N3A",2992.66666666645,-785995.01292508,791980.346258413,1
"WT-T8A.N3A",7453.66666666635,-781534.01292508,796441.346258413,0.999999999996733
"N3A-T8A.N3A",227126,-561861.679591747,1016113.67959175,0.968365965536988
"WT.N3A-T8A.N3A",279792.666666667,-509195.01292508,1068780.34625841,0.911710779423124
"TN-T8A.N3A",1465751,676763.320408253,2254738.67959175,0.000176521718472711
"T8A-TP",253.333333333479,-788734.346258413,789241.01292508,1
"WT.T8A-TP",1173.33333333337,-787814.346258413,790161.01292508,1
"WT-TP",5634.33333333326,-783353.346258413,794622.01292508,1
"N3A-TP",225306.666666667,-563681.01292508,1014294.34625841,0.969677936794466
"WT.N3A-TP",277973.333333333,-511014.346258413,1066961.01292508,0.914304892105774
"TN-TP",1463931.66666667,674943.98707492,2252919.34625841,0.000179063704720428
"WT.T8A-T8A",919.999999999893,-788067.679591747,789907.679591746,1
"WT-T8A",5380.99999999979,-783606.679591747,794368.679591746,1
"N3A-T8A",225053.333333333,-563934.346258413,1014041.01292508,0.969857522043388
"WT.N3A-T8A",277720,-511267.679591747,1066707.67959175,0.914662413884063
"TN-T8A",1463678.33333333,674690.653741587,2252666.01292508,0.000179420662324126
"WT-WT.T8A",4460.99999999989,-784526.679591747,793448.679591746,1
"N3A-WT.T8A",224133.333333333,-564854.346258413,1013121.01292508,0.970503373312618
"WT.N3A-WT.T8A",276800,-512187.679591746,1065787.67959175,0.91595318088004
"TN-WT.T8A",1462758.33333333,673770.653741587,2251746.01292508,0.000180723198000665
"N3A-WT",219672.333333333,-569315.346258413,1008660.01292508,0.973496383420781
"WT.N3A-WT",272339,-516648.679591746,1061326.67959175,0.922042893106114
"TN-WT",1458297.33333333,669309.653741587,2247285.01292508,0.000187179513032598
"WT.N3A-N3A",52666.6666666668,-736321.01292508,841654.346258413,0.999997205566273
"TN-N3A",1238625,449637.320408254,2027612.67959175,0.00111120543376309
"TN-WT.N3A",1185958.33333333,396970.653741587,1974946.01292508,0.00172650731967983
