"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"T8A-T8A.N3A",0.000497366083045144,-0.105270584385557,0.106265316551648,1
"WT-T8A.N3A",0.00157375413553399,-0.104194196333069,0.107341704604137,0.999999999919474
"TP-T8A.N3A",0.00390631370581012,-0.101861636762792,0.109674264174413,0.999999953901932
"WT.T8A-T8A.N3A",0.00426548622727776,-0.101502464241325,0.11003343669588,0.999999914951607
"WT.N3A-T8A.N3A",0.0552950719304114,-0.0504728785381911,0.161063022399014,0.622824382503958
"N3A-T8A.N3A",0.217764918776254,0.111996968307651,0.323532869244856,5.22346079768754e-05
"TN-T8A.N3A",0.708126576521319,0.602358626052716,0.813894526989921,3.05433456304627e-12
"WT-T8A",0.00107638805248884,-0.104691562416114,0.106844338521091,0.999999999994426
"TP-T8A",0.00340894762276497,-0.102359002845838,0.109176898091368,0.999999982158772
"WT.T8A-T8A",0.00376812014423261,-0.10199983032437,0.109536070612835,0.999999964132445
"WT.N3A-T8A",0.0547977058473663,-0.0509702446212362,0.160565656315969,0.632485956986284
"N3A-T8A",0.217267552693208,0.111499602224606,0.323035503161811,5.3706992650282e-05
"TN-T8A",0.707629210438274,0.601861259969671,0.813397160906876,3.08730818687764e-12
"TP-WT",0.00233255957027613,-0.103435390898326,0.108100510038879,0.999999998738419
"WT.T8A-WT",0.00269173209174377,-0.103076218376859,0.108459682560346,0.999999996568893
"WT.N3A-WT",0.0537213177948774,-0.0520466326737251,0.15948926826348,0.653320538236945
"N3A-WT",0.21619116464072,0.110423214172117,0.321959115109322,5.70434722843016e-05
"TN-WT",0.706552822385785,0.600784871917182,0.812320772854387,3.15980575038566e-12
"WT.T8A-TP",0.000359172521467638,-0.105408777947135,0.10612712299007,1
"WT.N3A-TP",0.0513887582246013,-0.0543791922440012,0.157156708693204,0.697840223697492
"N3A-TP",0.213858605070443,0.108090654601841,0.319626555539046,6.50359966951619e-05
"TN-TP",0.704220262815509,0.598452312346906,0.809988213284111,3.32267546809817e-12
"WT.N3A-WT.T8A",0.0510295857031337,-0.0547383647654689,0.156797536171736,0.704585768939038
"N3A-WT.T8A",0.213499432548976,0.107731482080373,0.319267383017578,6.63666932189111e-05
"TN-WT.T8A",0.703861090294041,0.598093139825439,0.809629040762644,3.34843264226947e-12
"N3A-WT.N3A",0.162469846845842,0.0567018963772396,0.268237797314445,0.00138815529568381
"TN-WT.N3A",0.652831504590907,0.547063554122305,0.75859945505951,9.84146097948724e-12
"TN-N3A",0.490361657745065,0.384593707276463,0.596129608213668,6.30107299670613e-10
