"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"T8A.N3A-TP",1.15648231731787e-16,-0.0734472061480635,0.0734472061480638,1
"WT.N3A-TP",0.000830140485312922,-0.0726170656627507,0.0742773466333766,0.999999999988277
"T8A-TP",0.00083014048531301,-0.0726170656627507,0.0742773466333767,0.999999999988277
"WT-TP",0.000830140485313028,-0.0726170656627506,0.0742773466333767,0.999999999988277
"WT.T8A-TP",0.00286574566064479,-0.0705814604874189,0.0763129518087085,0.999999932427971
"N3A-TP",0.0597137111132307,-0.013733495034833,0.133160917261294,0.158833771734062
"TN-TP",0.934930121770186,0.861482915622122,1.00837732791825,2.27595720048157e-14
"WT.N3A-T8A.N3A",0.000830140485312806,-0.0726170656627508,0.0742773466333765,0.999999999988277
"T8A-T8A.N3A",0.000830140485312894,-0.0726170656627508,0.0742773466333766,0.999999999988277
"WT-T8A.N3A",0.000830140485312913,-0.0726170656627508,0.0742773466333766,0.999999999988277
"WT.T8A-T8A.N3A",0.00286574566064468,-0.070581460487419,0.0763129518087083,0.999999932427971
"N3A-T8A.N3A",0.0597137111132306,-0.0137334950348331,0.133160917261294,0.158833771734063
"TN-T8A.N3A",0.934930121770186,0.861482915622122,1.00837732791825,2.27595720048157e-14
"T8A-WT.N3A",8.79287961885744e-17,-0.0734472061480636,0.0734472061480637,1
"WT-WT.N3A",1.06360233120828e-16,-0.0734472061480635,0.0734472061480638,1
"WT.T8A-WT.N3A",0.00203560517533187,-0.0714116009727318,0.0754828113233955,0.999999993776105
"N3A-WT.N3A",0.0588835706279178,-0.0145636355201459,0.132330776775981,0.16951491274249
"TN-WT.N3A",0.934099981284873,0.860652775136809,1.00754718743294,2.27595720048157e-14
"WT-T8A",1.84314369322536e-17,-0.0734472061480636,0.0734472061480637,1
"WT.T8A-T8A",0.00203560517533178,-0.0714116009727319,0.0754828113233954,0.999999993776105
"N3A-T8A",0.0588835706279177,-0.014563635520146,0.132330776775981,0.169514912742491
"TN-T8A",0.934099981284873,0.860652775136809,1.00754718743294,2.27595720048157e-14
"WT.T8A-WT",0.00203560517533176,-0.0714116009727319,0.0754828113233954,0.999999993776105
"N3A-WT",0.0588835706279177,-0.014563635520146,0.132330776775981,0.169514912742492
"TN-WT",0.934099981284873,0.860652775136809,1.00754718743294,2.27595720048157e-14
"N3A-WT.T8A",0.0568479654525859,-0.0165992406954777,0.13029517160065,0.198240154922261
"TN-WT.T8A",0.932064376109541,0.858617169961478,1.00551158225761,2.27595720048157e-14
"TN-N3A",0.875216410656955,0.801769204508892,0.948663616805019,2.28705943072782e-14
