"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"T8A.N3A-T8A",4.16333634234434e-17,-0.00526686603700637,0.00526686603700646,1
"WT.T8A-T8A",0.000126746506986061,-0.00514011953002035,0.00539361254399248,0.999999997678606
"TP-T8A",0.000767465069860265,-0.00449940096714615,0.00603433110686668,0.999462127356123
"WT.N3A-T8A",0.00174592012119219,-0.00352094591581422,0.00701278615819861,0.935623142407282
"WT-T8A",0.00245685795893489,-0.00281000807807152,0.00772372399594131,0.735821484425715
"N3A-T8A",0.0033820695091632,-0.00188479652784321,0.00864893554616962,0.388295445491432
"TN-T8A",0.991520940833863,0.986254074796857,0.99678780687087,2.26485497023532e-14
"WT.T8A-T8A.N3A",0.00012674650698602,-0.00514011953002039,0.00539361254399243,0.999999997678606
"TP-T8A.N3A",0.000767465069860224,-0.00449940096714619,0.00603433110686664,0.999462127356123
"WT.N3A-T8A.N3A",0.00174592012119215,-0.00352094591581426,0.00701278615819857,0.935623142407289
"WT-T8A.N3A",0.00245685795893485,-0.00281000807807156,0.00772372399594126,0.73582148442573
"N3A-T8A.N3A",0.00338206950916316,-0.00188479652784325,0.00864893554616958,0.388295445491446
"TN-T8A.N3A",0.991520940833863,0.986254074796857,0.99678780687087,2.26485497023532e-14
"TP-WT.T8A",0.000640718562874204,-0.00462614747413221,0.00590758459988062,0.999835700361867
"WT.N3A-WT.T8A",0.00161917361420613,-0.00364769242280028,0.00688603965121255,0.955604675607121
"WT-WT.T8A",0.00233011145194883,-0.00293675458505758,0.00759697748895524,0.78071914919945
"N3A-WT.T8A",0.00325532300217714,-0.00201154303482927,0.00852218903918356,0.432191359159019
"TN-WT.T8A",0.991394194326877,0.986127328289871,0.996661060363884,2.26485497023532e-14
"WT.N3A-TP",0.000978455051331928,-0.00428841098567449,0.00624532108833834,0.997482301592003
"WT-TP",0.00168939288907463,-0.00357747314793179,0.00695625892608104,0.945139174139038
"N3A-TP",0.00261460443930294,-0.00265226159770348,0.00788147047630935,0.67665461743536
"TN-TP",0.990753475764003,0.985486609726997,0.99602034180101,2.26485497023532e-14
"WT-WT.N3A",0.000710937837742699,-0.00455592819926372,0.00597780387474911,0.999673556693427
"N3A-WT.N3A",0.00163614938797101,-0.0036307166490354,0.00690301542497742,0.953209613448688
"TN-WT.N3A",0.989775020712671,0.984508154675665,0.995041886749678,2.26485497023532e-14
"N3A-WT",0.000925211550228312,-0.0043416544867781,0.00619207758723473,0.998224040161993
"TN-WT",0.989064082874929,0.983797216837922,0.994330948911935,2.26485497023532e-14
"TN-N3A",0.9881388713247,0.982872005287694,0.993405737361707,2.26485497023532e-14
