"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"TP-T8A.N3A",5.89651022862847e-05,-0.0586504446256025,0.0587683748301751,1
"T8A-T8A.N3A",0.000604564487256714,-0.0581048452406321,0.0593139742151455,0.999999999993925
"WT.T8A-T8A.N3A",0.00135559089888773,-0.0573538188290011,0.0600650006267765,0.999999998261163
"WT-T8A.N3A",0.00237905305900514,-0.0563303566688837,0.0610884627868939,0.999999912066441
"N3A-T8A.N3A",0.0194407252896724,-0.0392686844382164,0.0781501350175612,0.935955174621331
"WT.N3A-T8A.N3A",0.0268765153403577,-0.031832894387531,0.0855859250682465,0.752351911734214
"TN-T8A.N3A",0.948293009408574,0.889583599680686,1.00700241913646,2.26485497023532e-14
"T8A-TP",0.000545599384970429,-0.0581638103429184,0.0592550091128592,0.999999999997088
"WT.T8A-TP",0.00129662579660145,-0.0574127839312873,0.0600060355244902,0.999999998725601
"WT-TP",0.00232008795671886,-0.0563893217711699,0.0610294976846077,0.999999926159624
"N3A-TP",0.0193817601873861,-0.0393276495405027,0.0780911699152749,0.936884607470671
"WT.N3A-TP",0.0268175502380715,-0.0318918594898173,0.0855269599659603,0.754241116747038
"TN-TP",0.948234044306288,0.889524634578399,1.00694345403418,2.26485497023532e-14
"WT.T8A-T8A",0.000751026411631018,-0.0579583833162578,0.0594604361395198,0.999999999972048
"WT-T8A",0.00177448857174843,-0.0569349211561404,0.0604838982996372,0.999999988602719
"N3A-T8A",0.0188361608024157,-0.0398732489254731,0.0775455705303045,0.945073138188319
"WT.N3A-T8A",0.026271950853101,-0.0324374588747878,0.0849813605809898,0.771483589097286
"TN-T8A",0.947688444921318,0.888979035193429,1.00639785464921,2.26485497023532e-14
"WT-WT.T8A",0.00102346216011741,-0.0576859475677714,0.0597328718880062,0.999999999756177
"N3A-WT.T8A",0.0180851343907847,-0.0406242753371041,0.0767945441186735,0.955151648952226
"WT.N3A-WT.T8A",0.02552092444147,-0.0331884852864188,0.0842303341693588,0.794449554347153
"TN-WT.T8A",0.946937418509687,0.888228008781798,1.00564682823758,2.26485497023532e-14
"N3A-WT",0.0170616722306673,-0.0416477374972215,0.075771081958556,0.966754430637692
"WT.N3A-WT",0.0244974622813526,-0.0342119474465362,0.0832068720092414,0.824115665315287
"TN-WT",0.945913956349569,0.88720454662168,1.00462336607746,2.26485497023532e-14
"WT.N3A-N3A",0.00743579005068535,-0.0512736196772034,0.0661451997785742,0.999785403295631
"TN-N3A",0.928852284118902,0.870142874391013,0.987561693846791,2.26485497023532e-14
"TN-WT.N3A",0.921416494068217,0.862707084340328,0.980125903796105,2.26485497023532e-14
