"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"T8A.N3A-WT.N3A",0.000830117316716644,-0.047882395667661,0.0495426303010943,0.999999999868861
"TP-WT.N3A",0.00271246193856173,-0.0460000510458159,0.0514249749229394,0.999999493237545
"WT-WT.N3A",0.00611470695168064,-0.042597806032697,0.0548272199360583,0.99986818086732
"T8A-WT.N3A",0.00847588661075389,-0.0402366263736238,0.0571883995951315,0.998878222382293
"WT.T8A-WT.N3A",0.0265735373342958,-0.0221389756500819,0.0752860503186734,0.621826178620282
"N3A-WT.N3A",0.0765891824575705,0.0278766694731928,0.125301695441948,0.000561228523097257
"TN-WT.N3A",0.86632506402702,0.817612551042642,0.915037577011398,2.09832151654155e-14
"TP-T8A.N3A",0.00188234462184508,-0.0468301683625326,0.0505948576062227,0.999999960066519
"WT-T8A.N3A",0.005284589634964,-0.0434279233494137,0.0539971026193417,0.999950578089315
"T8A-T8A.N3A",0.00764576929403725,-0.0410667436903404,0.0563582822784149,0.999423556566399
"WT.T8A-T8A.N3A",0.0257434200175791,-0.0229690929667985,0.0744559330019568,0.656676025495149
"N3A-T8A.N3A",0.0757590651408538,0.0270465521564762,0.124471578125231,0.000644471717209827
"TN-T8A.N3A",0.865494946710303,0.816782433725926,0.914207459694681,2.09832151654155e-14
"WT-TP",0.00340224501311891,-0.0453102679712587,0.0521147579974966,0.999997569500607
"T8A-TP",0.00576342467219217,-0.0429490883121855,0.0544759376565698,0.999911322752544
"WT.T8A-TP",0.0238610753957341,-0.0248514375886436,0.0725735883801117,0.733069815111977
"N3A-TP",0.0738767205190087,0.0251642075346311,0.122589233503386,0.000881899504318495
"TN-TP",0.863612602088458,0.814900089104081,0.912325115072836,2.09832151654155e-14
"T8A-WT",0.00236117965907325,-0.0463513333253044,0.0510736926434509,0.999999806573134
"WT.T8A-WT",0.0204588303826151,-0.0282536826017625,0.0691713433669928,0.852546814862064
"N3A-WT",0.0704744755058898,0.0217619625215122,0.119186988490267,0.00155373597978392
"TN-WT",0.860210357075339,0.811497844090962,0.908922870059717,2.09832151654155e-14
"WT.T8A-T8A",0.0180976507235419,-0.0306148622608358,0.0668101637079195,0.914566722088828
"N3A-T8A",0.0681132958468166,0.0194007828624389,0.116825808831194,0.00229918004724683
"TN-T8A",0.857849177416266,0.809136664431888,0.906561690400644,2.09832151654155e-14
"N3A-WT.T8A",0.0500156451232747,0.00130313213889702,0.0987281581076523,0.0412352368149279
"TN-WT.T8A",0.839751526692724,0.791039013708347,0.888464039677102,2.09832151654155e-14
"TN-N3A",0.78973588156945,0.741023368585072,0.838448394553827,2.09832151654155e-14
