"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"WT-T8A.N3A",8.16970580325635e-05,-0.0436405854509775,0.0438039795670426,1
"WT.N3A-T8A.N3A",0.000353837632551188,-0.0433684448764588,0.0440761201415612,0.999999999999398
"T8A-T8A.N3A",0.000820860946788685,-0.0429014215622213,0.0445431434557987,0.999999999741791
"TP-T8A.N3A",0.00398562978058994,-0.0397366527284201,0.0477079122896,0.999984859185573
"WT.T8A-T8A.N3A",0.00634677775657486,-0.0373755047524352,0.0500690602655849,0.999654340415916
"N3A-T8A.N3A",0.232480744344128,0.188758461835118,0.276203026853138,1.10689235555128e-13
"TN-T8A.N3A",0.746093098946945,0.702370816437935,0.789815381455955,2.09832151654155e-14
"WT.N3A-WT",0.000272140574518624,-0.0434501419344914,0.0439944230835287,1
"T8A-WT",0.000739163888756122,-0.0429831186202539,0.0444614463977662,0.99999999987598
"TP-WT",0.00390393272255738,-0.0398183497864527,0.0476262152315674,0.999986857456933
"WT.T8A-WT",0.00626508069854229,-0.0374572018104677,0.0499873632075523,0.999682605361379
"N3A-WT",0.232399047286096,0.188676764777086,0.276121329795106,1.11355369369903e-13
"TN-WT",0.746011401888912,0.702289119379902,0.789733684397922,2.09832151654155e-14
"T8A-WT.N3A",0.000467023314237498,-0.0432552591947725,0.0441893058232475,0.999999999995067
"TP-WT.N3A",0.00363179214803876,-0.0400904903609713,0.0473540746570488,0.999991987565539
"WT.T8A-WT.N3A",0.00599294012402367,-0.0377293423849864,0.0497152226330337,0.99976331328645
"N3A-WT.N3A",0.232126906711577,0.188404624202567,0.275849189220587,1.13797860024079e-13
"TN-WT.N3A",0.745739261314394,0.702016978805384,0.789461543823404,2.09832151654155e-14
"TP-T8A",0.00316476883380126,-0.0405575136752088,0.0468870513428113,0.999996890525825
"WT.T8A-T8A",0.00552591680978617,-0.0381963656992239,0.0492481993187962,0.999862026435561
"N3A-T8A",0.23165988339734,0.18793760088833,0.27538216590635,1.18016707517654e-13
"TN-T8A",0.745272238000156,0.701549955491146,0.788994520509166,2.09832151654155e-14
"WT.T8A-TP",0.00236114797598491,-0.0413611345330251,0.0460834304849949,0.999999590260537
"N3A-TP",0.228495114563538,0.184772832054528,0.272217397072548,1.52322598978571e-13
"TN-TP",0.742107469166355,0.698385186657345,0.785829751675365,2.09832151654155e-14
"N3A-WT.T8A",0.226133966587554,0.182411684078543,0.269856249096564,1.85851334322251e-13
"TN-WT.T8A",0.73974632119037,0.69602403868136,0.78346860369938,2.09832151654155e-14
"TN-N3A",0.513612354602817,0.469890072093807,0.557334637111827,2.09832151654155e-14
