"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"T8A-T8A.N3A",1.38777878078145e-17,-0.0396888709478727,0.0396888709478727,1
"N3A-T8A.N3A",0.00207873627991503,-0.0376101346679577,0.0417676072277877,0.999999477343392
"WT-T8A.N3A",0.0106229716131383,-0.0290658993347344,0.050311842561011,0.978583958790091
"TP-T8A.N3A",0.0122253129320299,-0.0274635580158428,0.0519141838799026,0.955163526291723
"WT.T8A-T8A.N3A",0.014449594469588,-0.0252392764782847,0.0541384654174607,0.900595023277133
"WT.N3A-T8A.N3A",0.0297302740463208,-0.00995859690155194,0.0694191449941935,0.227285108745744
"TN-T8A.N3A",0.930466292906411,0.890777421958538,0.970155163854284,2.26485497023532e-14
"N3A-T8A",0.00207873627991502,-0.0376101346679577,0.0417676072277877,0.999999477343392
"WT-T8A",0.0106229716131383,-0.0290658993347344,0.050311842561011,0.978583958790091
"TP-T8A",0.0122253129320299,-0.0274635580158428,0.0519141838799026,0.955163526291723
"WT.T8A-T8A",0.014449594469588,-0.0252392764782847,0.0541384654174607,0.900595023277133
"WT.N3A-T8A",0.0297302740463207,-0.00995859690155195,0.0694191449941934,0.227285108745745
"TN-T8A",0.930466292906411,0.890777421958538,0.970155163854284,2.26485497023532e-14
"WT-N3A",0.00854423533322332,-0.0311446356146494,0.048233106281096,0.99383266526172
"TP-N3A",0.0101465766521149,-0.0295422942957578,0.0498354475999876,0.983373164873199
"WT.T8A-N3A",0.012370858189673,-0.0273180127581997,0.0520597291375457,0.952413732455187
"WT.N3A-N3A",0.0276515377664057,-0.012037333181467,0.0673404087142784,0.298794789620476
"TN-N3A",0.928387556626496,0.888698685678623,0.968076427574369,2.26485497023532e-14
"TP-WT",0.00160234131889159,-0.0380865296289811,0.0412912122667643,0.99999991430614
"WT.T8A-WT",0.00382662285644968,-0.035862248091423,0.0435154938043224,0.999965480177415
"WT.N3A-WT",0.0191073024331824,-0.0205815685146903,0.0587961733810551,0.706644780158474
"TN-WT",0.919843321293273,0.8801544503454,0.959532192241145,2.26485497023532e-14
"WT.T8A-TP",0.00222428153755809,-0.0374645894103146,0.0419131524854308,0.99999916479268
"WT.N3A-TP",0.0175049611142908,-0.0221839098335819,0.0571938320621635,0.783156943882772
"TN-TP",0.918240979974381,0.878552109026508,0.957929850922254,2.26485497023532e-14
"WT.N3A-WT.T8A",0.0152806795767327,-0.02440819137114,0.0549695505246054,0.873224099864334
"TN-WT.T8A",0.916016698436823,0.87632782748895,0.955705569384696,2.26485497023532e-14
"TN-WT.N3A",0.90073601886009,0.861047147912217,0.940424889807963,2.26485497023532e-14
