"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"T8A-T8A.N3A",283.333333333261,-138000.921034474,138567.587701141,1
"WT.T8A-T8A.N3A",586.666666666623,-137697.587701141,138870.921034474,1
"TP-T8A.N3A",1836.66666666659,-136447.587701141,140120.921034474,0.999999999963643
"WT-T8A.N3A",5635.66666666664,-132648.587701141,143919.921034474,0.999999908507531
"WT.N3A-T8A.N3A",17973.3333333333,-120310.921034474,156257.587701141,0.999745433374161
"N3A-T8A.N3A",87406.6666666667,-50877.5877011409,225690.921034474,0.406348064536706
"TN-T8A.N3A",936397.666666667,798113.412298859,1074681.92103447,2.56306087464964e-12
"WT.T8A-T8A",303.333333333362,-137980.921034474,138587.587701141,1
"TP-T8A",1553.33333333333,-136730.921034474,139837.587701141,0.999999999988773
"WT-T8A",5352.33333333338,-132931.921034474,143636.587701141,0.999999936106686
"WT.N3A-T8A",17690.0000000001,-120594.254367807,155974.254367808,0.999770769813675
"N3A-T8A",87123.3333333334,-51160.9210344741,225407.587701141,0.410078441492473
"TN-T8A",936114.333333334,797830.078965526,1074398.58770114,2.57527332792051e-12
"TP-WT.T8A",1249.99999999997,-137034.254367808,139534.254367808,0.999999999997628
"WT-WT.T8A",5049.00000000001,-133235.254367808,143333.254367808,0.999999957441313
"WT.N3A-WT.T8A",17386.6666666667,-120897.587701141,155670.921034474,0.999795535554045
"N3A-WT.T8A",86820,-51464.2543678075,225104.254367808,0.414091848410315
"TN-WT.T8A",935811,797526.745632193,1074095.25436781,2.58826293730863e-12
"WT-TP",3799.00000000004,-134485.254367807,142083.254367808,0.999999994146935
"WT.N3A-TP",16136.6666666667,-122147.587701141,154420.921034474,0.999875444834558
"N3A-TP",85570.0000000001,-52714.2543678075,223854.254367808,0.430839644776641
"TN-TP",934561,796276.745632193,1072845.25436781,2.64266386551526e-12
"WT.N3A-WT",12337.6666666667,-125946.587701141,150621.921034474,0.999979610447976
"N3A-WT",81771,-56513.2543678075,220055.254367808,0.483606887559622
"TN-WT",930762,792477.745632193,1069046.25436781,2.81474843433216e-12
"N3A-WT.N3A",69433.3333333333,-68850.9210344742,207717.587701141,0.665150856024079
"TN-WT.N3A",918424.333333333,780140.078965526,1056708.58770114,3.45046213823252e-12
"TN-N3A",848991,710706.745632193,987275.254367808,1.05838671160541e-11
