"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"T8A-T8A.N3A",0.000540551230872701,-0.170585113176816,0.171666215638562,1
"WT.T8A-T8A.N3A",0.000779840022213448,-0.170345824385475,0.171905504429902,1
"TP-T8A.N3A",0.00310212446310252,-0.168023539944586,0.174227788870791,0.999999999679518
"WT-T8A.N3A",0.00336400193565022,-0.167761662472039,0.174489666343339,0.999999999435213
"WT.N3A-T8A.N3A",0.00553685363637485,-0.165588810771314,0.176662518044064,0.999999981670425
"N3A-T8A.N3A",0.154743125883003,-0.0163825385246861,0.325868790290692,0.0918275621270939
"TN-T8A.N3A",0.830894743138861,0.659769078731172,1.00202040754655,3.03802649703755e-10
"WT.T8A-T8A",0.000239288791340747,-0.170886375616348,0.17136495319903,1
"TP-T8A",0.00256157323222982,-0.168564091175459,0.173687237639919,0.999999999916014
"WT-T8A",0.00282345070477752,-0.168302213702911,0.173949115112466,0.999999999834068
"WT.N3A-T8A",0.00499630240550215,-0.166129362002187,0.176121966813191,0.999999991048198
"N3A-T8A",0.15420257465213,-0.0169230897555588,0.325328239059819,0.0936408783836576
"TN-T8A",0.830354191907988,0.659228527500299,1.00147985631568,3.06933367610895e-10
"TP-WT.T8A",0.00232228444088907,-0.1688033799668,0.173447948848578,0.999999999957726
"WT-WT.T8A",0.00258416191343677,-0.168541502494252,0.173709826321126,0.999999999910695
"WT.N3A-WT.T8A",0.00475701361416141,-0.166368650793527,0.17588267802185,0.999999993644584
"N3A-WT.T8A",0.153963285860789,-0.0171623785468996,0.325088950268478,0.094453860234782
"TN-WT.T8A",0.830114903116647,0.658989238708959,1.00124056752434,3.08330361242781e-10
"WT-TP",0.000261877472547703,-0.170863786935141,0.171387541880237,1
"WT.N3A-TP",0.00243472917327234,-0.168690935234417,0.173560393580961,0.999999999941139
"N3A-TP",0.1516410014199,-0.0194846629877886,0.322766665827589,0.102679956520225
"TN-TP",0.827792618675758,0.65666695426807,0.998918283083447,3.22250670592439e-10
"WT.N3A-WT",0.00217285170072463,-0.168952812706964,0.173298516108414,0.999999999973467
"N3A-WT",0.151379123947353,-0.0197465404603364,0.322504788355041,0.10364674018228
"TN-WT",0.827530741203211,0.656405076795522,0.9986564056109,3.2386204829038e-10
"N3A-WT.N3A",0.149206272246628,-0.021919392161061,0.320331936654317,0.111986443527998
"TN-WT.N3A",0.825357889502486,0.654232225094797,0.996483553910175,3.37575412068247e-10
"TN-N3A",0.676151617255858,0.505025952848169,0.847277281663547,7.18680526201609e-09
