"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"T8A-T8A.N3A",2866.66666666674,-1909028.02353145,1914761.35686478,1
"WT.T8A-T8A.N3A",3974.66666666682,-1907920.02353145,1915869.35686478,1
"TP-T8A.N3A",15630,-1896264.69019811,1927524.69019811,0.999999999998891
"WT-T8A.N3A",16656.6666666662,-1895238.02353145,1928551.35686478,0.999999999998193
"WT.N3A-T8A.N3A",28820.0000000002,-1883074.69019811,1940714.69019811,0.999999999911802
"N3A-T8A.N3A",772220,-1139674.69019811,2684114.69019811,0.845428915847987
"TN-T8A.N3A",4276258.66666667,2364363.97646855,6188153.35686478,1.87011772968537e-05
"WT.T8A-T8A",1108.00000000008,-1910786.69019811,1913002.69019811,1
"TP-T8A",12763.3333333332,-1899131.35686478,1924658.02353145,1
"WT-T8A",13789.9999999994,-1898104.69019811,1925684.69019811,1
"WT.N3A-T8A",25953.3333333334,-1885941.35686478,1937848.02353145,0.999999999957639
"N3A-T8A",769353.333333333,-1142541.35686478,2681248.02353145,0.84773743038375
"TN-T8A",4273392,2361497.30980189,6185286.69019812,1.88602755069045e-05
"TP-WT.T8A",11655.3333333331,-1900239.35686478,1923550.02353145,1
"WT-WT.T8A",12681.9999999993,-1899212.69019811,1924576.69019811,1
"WT.N3A-WT.T8A",24845.3333333334,-1887049.35686478,1936740.02353145,0.999999999968796
"N3A-WT.T8A",768245.333333333,-1143649.35686478,2680140.02353145,0.848625089471116
"TN-WT.T8A",4272284,2360389.30980189,6184178.69019812,1.89221473340107e-05
"WT-TP",1026.6666666662,-1910868.02353145,1912921.35686478,1
"WT.N3A-TP",13190.0000000002,-1898704.69019811,1925084.69019811,1
"N3A-TP",756590,-1155304.69019811,2668484.69019811,0.857804793703744
"TN-TP",4260628.66666667,2348733.97646855,6172523.35686478,1.95859953868727e-05
"WT.N3A-WT",12163.333333334,-1899731.35686478,1924058.02353145,1
"N3A-WT",755563.333333334,-1156331.35686478,2667458.02353145,0.858599422418601
"TN-WT",4259602,2347707.30980189,6171496.69019812,1.96456258191313e-05
"N3A-WT.N3A",743400,-1168494.69019811,2655294.69019811,0.867838242695173
"TN-WT.N3A",4247438.66666667,2335543.97646855,6159333.35686478,2.0366708105346e-05
"TN-N3A",3504038.66666667,1592143.97646855,5415933.35686478,0.000206207421672211
