"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"TP-T8A.N3A",0.00191130153999008,-0.00841107625128943,0.0122336793312696,0.997533498222808
"WT.T8A-T8A.N3A",0.00231142191142193,-0.00801095587985759,0.0126337997027015,0.992217106642507
"N3A-T8A.N3A",0.00343124404971497,-0.00689113374156454,0.0137536218409945,0.934764063777808
"T8A-T8A.N3A",0.0041086699670427,-0.00621370782423682,0.0144310477583222,0.854364500759829
"WT.N3A-T8A.N3A",0.00447252762952312,-0.0058498501617564,0.0147949054208026,0.796929605969985
"WT-T8A.N3A",0.00524659035618581,-0.00507578743509371,0.0155689681474653,0.652592671210004
"TN-T8A.N3A",0.976198431026308,0.965876053235028,0.986520808817587,2.26485497023532e-14
"WT.T8A-TP",0.000400120371431847,-0.00992225741984767,0.0107224981627114,0.999999935447242
"N3A-TP",0.00151994250972489,-0.00880243528155463,0.0118423203010044,0.999424381245203
"T8A-TP",0.00219736842705262,-0.0081250093642269,0.0125197462183321,0.99423223482525
"WT.N3A-TP",0.00256122608953303,-0.00776115170174648,0.0128836038808126,0.985940759703462
"WT-TP",0.00333528881619572,-0.00698708897508379,0.0136576666074752,0.943136604601891
"TN-TP",0.974287129486317,0.963964751695038,0.984609507277597,2.26485497023532e-14
"N3A-WT.T8A",0.00111982213829304,-0.00920255565298648,0.0114421999295726,0.999923536554493
"T8A-WT.T8A",0.00179724805562077,-0.00852512973565875,0.0121196258469003,0.998320501712368
"WT.N3A-WT.T8A",0.00216110571810119,-0.00816127207317833,0.0124834835093807,0.99477901590782
"WT-WT.T8A",0.00293516844476388,-0.00738720934651564,0.0132575462360434,0.970353090744151
"TN-WT.T8A",0.973887009114886,0.963564631323606,0.984209386906165,2.26485497023532e-14
"T8A-N3A",0.000677425917327728,-0.00964495187395179,0.0109998037086072,0.999997514501176
"WT.N3A-N3A",0.00104128357980815,-0.00928109421147137,0.0113636613710877,0.999953132778093
"WT-N3A",0.00181534630647084,-0.00850703148480868,0.0121377240977504,0.99821139556473
"TN-N3A",0.972767186976593,0.962444809185313,0.983089564767872,2.26485497023532e-14
"WT.N3A-T8A",0.000363857662480417,-0.0099585201287991,0.0106862354537599,0.999999966694577
"WT-T8A",0.00113792038914311,-0.00918445740213641,0.0114602981804226,0.999914855261205
"TN-T8A",0.972089761059265,0.961767383267985,0.982412138850544,2.26485497023532e-14
"WT-WT.N3A",0.00077406272666269,-0.00954831506461683,0.0110964405179422,0.999993781108948
"TN-WT.N3A",0.971725903396784,0.961403525605505,0.982048281188064,2.26485497023532e-14
"TN-WT",0.970951840670122,0.960629462878842,0.981274218461401,2.26485497023532e-14
