"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"T8A-T8A.N3A",946.666666664804,-2405066.8764064,2406960.20973973,1
"N3A-T8A.N3A",4743.33333333232,-2401270.20973973,2410756.87640639,1
"WT.T8A-T8A.N3A",6399.9999999986,-2399613.54307306,2412413.54307306,1
"TP-T8A.N3A",6989.99999999674,-2399023.54307306,2413003.54307306,1
"WT.N3A-T8A.N3A",25563.3333333307,-2380450.20973973,2431576.87640639,0.999999999992424
"WT-T8A.N3A",26999.9999999978,-2379013.54307306,2433013.54307306,0.99999999998885
"TN-T8A.N3A",13128356.6666667,10722343.1235936,15534370.2097397,5.23600052204642e-11
"N3A-T8A",3796.66666666752,-2402216.87640639,2409810.20973973,1
"WT.T8A-T8A",5453.3333333338,-2400560.20973973,2411466.8764064,1
"TP-T8A",6043.33333333194,-2399970.20973973,2412056.87640639,1
"WT.N3A-T8A",24616.6666666659,-2381396.8764064,2430630.20973973,0.999999999994214
"WT-T8A",26053.333333333,-2379960.20973973,2432066.87640639,0.999999999991335
"TN-T8A",13127410,10721396.4569269,15533423.5430731,5.24132959256463e-11
"WT.T8A-N3A",1656.66666666628,-2404356.87640639,2407670.20973973,1
"TP-N3A",2246.66666666442,-2403766.8764064,2408260.20973973,1
"WT.N3A-N3A",20819.9999999984,-2385193.54307306,2426833.54307306,0.999999999998276
"WT-N3A",22256.6666666655,-2383756.8764064,2428270.20973973,0.99999999999718
"TN-N3A",13123613.3333333,10717599.7902603,15529626.8764064,5.26275689693989e-11
"TP-WT.T8A",589.999999998137,-2405423.54307306,2406603.54307306,1
"WT.N3A-WT.T8A",19163.3333333321,-2386850.20973973,2425176.87640639,0.999999999999085
"WT-WT.T8A",20599.9999999992,-2385413.54307306,2426613.54307306,0.999999999998416
"TN-WT.T8A",13121956.6666667,10715943.1235936,15527970.2097397,5.27213828149797e-11
"WT.N3A-TP",18573.333333334,-2387440.20973973,2424586.8764064,0.999999999999298
"WT-TP",20010.0000000011,-2386003.54307306,2426023.54307306,0.99999999999873
"TN-TP",13121366.6666667,10715353.1235936,15527380.2097397,5.27549115503234e-11
"WT-WT.N3A",1436.66666666713,-2404576.87640639,2407450.20973973,1
"TN-WT.N3A",13102793.3333333,10696779.7902603,15508806.8764064,5.3821058720871e-11
"TN-WT",13101356.6666667,10695343.1235936,15507370.2097397,5.39045474923228e-11
