"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"WT-T8A.N3A",270.000000002561,-1152574.86974422,1153114.86974423,1
"WT.N3A-T8A.N3A",4599.99999999977,-1148244.86974423,1157444.86974423,1
"T8A-T8A.N3A",9057.49999999988,-1143787.36974423,1161902.36974423,0.999999999999537
"TP-T8A.N3A",45480.0000000009,-1107364.86974423,1198324.86974423,0.999999953869138
"WT.T8A-T8A.N3A",70482.5,-1082362.36974423,1223327.36974423,0.999999031560032
"N3A-T8A.N3A",2858632.5,1705787.63025577,4011477.36974423,5.02116675349384e-07
"TN-T8A.N3A",9105537.5,7952692.63025577,10258382.3697442,2.1094237467878e-14
"WT.N3A-WT",4329.99999999721,-1148514.86974423,1157174.86974422,1
"T8A-WT",8787.49999999732,-1144057.36974423,1161632.36974422,1
"TP-WT",45209.9999999984,-1107634.86974423,1198054.86974423,0.999999955743978
"WT.T8A-WT",70212.4999999974,-1082632.36974423,1223057.36974422,0.999999056955658
"N3A-WT",2858362.5,1705517.63025577,4011207.36974422,5.02961986281747e-07
"TN-WT",9105267.5,7952422.63025577,10258112.3697442,2.1094237467878e-14
"T8A-WT.N3A",4457.50000000012,-1148387.36974423,1157302.36974423,1
"TP-WT.N3A",40880.0000000012,-1111964.86974423,1193724.86974423,0.999999978063749
"WT.T8A-WT.N3A",65882.5000000002,-1086962.36974423,1218727.36974423,0.999999393264472
"N3A-WT.N3A",2854032.5,1701187.63025577,4006877.36974423,5.16719707799318e-07
"TN-WT.N3A",9100937.5,7948092.63025577,10253782.3697442,2.1094237467878e-14
"TP-T8A",36422.500000001,-1116422.36974423,1189267.36974423,0.999999990197536
"WT.T8A-T8A",61425.0000000001,-1091419.86974423,1214269.86974423,0.999999626809046
"N3A-T8A",2849575,1696730.13025577,4002419.86974423,5.31286615368387e-07
"TN-T8A",9096480,7943635.13025577,10249324.8697442,2.1094237467878e-14
"WT.T8A-TP",25002.4999999991,-1127842.36974423,1177847.36974423,0.999999999292077
"N3A-TP",2813152.5,1660307.63025577,3965997.36974423,6.67302051393648e-07
"TN-TP",9060057.5,7907212.63025577,10212902.3697442,2.1094237467878e-14
"N3A-WT.T8A",2788150,1635305.13025577,3940994.86974423,7.80952832069026e-07
"TN-WT.T8A",9035055,7882210.13025577,10187899.8697442,2.1094237467878e-14
"TN-N3A",6246905,5094060.13025577,7399749.86974423,7.97140131680862e-14
