"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"TP-T8A.N3A",1447.50000000058,-1444033.55251552,1446928.55251552,1
"WT.N3A-T8A.N3A",4036.74999999977,-1441444.30251552,1449517.80251552,1
"N3A-T8A.N3A",11167.5,-1434313.55251552,1456648.55251552,0.999999999999605
"WT-T8A.N3A",39152.5000000005,-1406328.55251552,1484633.55251552,0.99999999665376
"T8A-T8A.N3A",56190.0000000002,-1389291.05251552,1501671.05251552,0.999999958373178
"WT.T8A-T8A.N3A",59097.4999999995,-1386383.55251552,1504578.55251552,0.999999940840304
"TN-T8A.N3A",4329428.25,2883947.19748448,5774909.30251552,1.48820364920255e-08
"WT.N3A-TP",2589.24999999919,-1442891.80251552,1448070.30251552,1
"N3A-TP",9719.99999999942,-1435761.05251552,1455201.05251552,1
"WT-TP",37704.9999999999,-1407776.05251552,1483186.05251552,0.999999997428001
"T8A-TP",54742.4999999996,-1390738.55251552,1500223.55251552,0.999999965296255
"WT.T8A-TP",57649.9999999989,-1387831.05251552,1503131.05251552,0.99999995022638
"TN-TP",4327980.75,2882499.69748448,5773461.80251552,1.49788452752375e-08
"N3A-WT.N3A",7130.75000000023,-1438350.30251552,1452611.80251552,1
"WT-WT.N3A",35115.7500000007,-1410365.30251552,1480596.80251552,0.99999999843543
"T8A-WT.N3A",52153.2500000004,-1393327.80251552,1497634.30251552,0.999999975244796
"WT.T8A-WT.N3A",55060.7499999997,-1390420.30251552,1500541.80251552,0.99999996386534
"TN-WT.N3A",4325391.5,2879910.44748448,5770872.55251552,1.51536374559669e-08
"WT-N3A",27985.0000000005,-1417496.05251552,1473466.05251552,0.999999999679891
"T8A-N3A",45022.5000000002,-1400458.55251552,1490503.55251552,0.999999991124578
"WT.T8A-N3A",47929.9999999995,-1397551.05251552,1493411.05251552,0.999999986264181
"TN-N3A",4318260.75,2872779.69748448,5763741.80251552,1.56459745159765e-08
"T8A-WT",17037.4999999997,-1428443.55251552,1462518.55251552,0.999999999990094
"WT.T8A-WT",19944.999999999,-1425536.05251552,1465426.05251552,0.99999999997008
"TN-WT",4290275.75,2844794.69748448,5735756.80251552,1.77433161496765e-08
"WT.T8A-T8A",2907.4999999993,-1442573.55251552,1448388.55251552,1
"TN-T8A",4273238.25,2827757.19748448,5718719.30251552,1.91602891330689e-08
"TN-WT.T8A",4270330.75,2824849.69748448,5715811.80251552,1.94135243436477e-08
