"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"TP-T8A.N3A",0.000196476266142914,-0.00852413185245514,0.00891708438474096,0.999999999075989
"WT.N3A-T8A.N3A",0.00102255216968856,-0.00769805594890948,0.00974316028828661,0.999916517463268
"N3A-T8A.N3A",0.00192161049636839,-0.00679899762222965,0.0106422186149664,0.995091315781141
"WT-T8A.N3A",0.0035854842296503,-0.00513512388894775,0.0123060923482484,0.865280795765042
"T8A-T8A.N3A",0.00447071047683905,-0.004249897641759,0.0131913185954371,0.688507929837093
"WT.T8A-T8A.N3A",0.00513983601193133,-0.00358077210666672,0.0138604441305294,0.531532952066951
"TN-T8A.N3A",0.982840873223418,0.97412026510482,0.991561481342016,2.09832151654155e-14
"WT.N3A-TP",0.000826075903545651,-0.0078945322150524,0.0095466840221437,0.999980322577646
"N3A-TP",0.00172513423022548,-0.00699547388837257,0.0104457423488235,0.997473867389844
"WT-TP",0.00338900796350739,-0.00533160015509066,0.0121096160821054,0.894896853367251
"T8A-TP",0.00427423421069613,-0.00444637390790192,0.0129948423292942,0.732505607890064
"WT.T8A-TP",0.00494335974578841,-0.00377724837280964,0.0136639678643865,0.577825788291762
"TN-TP",0.982644396957275,0.973923788838677,0.991365005075873,2.09832151654155e-14
"N3A-WT.N3A",0.00089905832667983,-0.00782154979191822,0.00961966644527788,0.999965002687077
"WT-WT.N3A",0.00256293205996174,-0.00615767605863631,0.0112835401785598,0.974058854823023
"T8A-WT.N3A",0.00344815830715048,-0.00527244981144757,0.0121687664257485,0.886418338234049
"WT.T8A-WT.N3A",0.00411728384224276,-0.00460332427635529,0.0128378919608408,0.766098626681419
"TN-WT.N3A",0.98181832105373,0.973097712935131,0.990538929172328,2.09832151654155e-14
"WT-N3A",0.00166387373328191,-0.00705673438531614,0.01038448185188,0.997985993070075
"T8A-N3A",0.00254909998047065,-0.0061715081381274,0.0112697080990687,0.974812633061524
"WT.T8A-N3A",0.00321822551556293,-0.00550238260303512,0.011938833634161,0.917218167282992
"TN-N3A",0.98091926272705,0.972198654608452,0.989639870845648,2.09832151654155e-14
"T8A-WT",0.000885226247188745,-0.0078353818714093,0.00960583436578679,0.999968498533804
"WT.T8A-WT",0.00155435178228102,-0.00716625633631703,0.0102749599008791,0.998691602096865
"TN-WT",0.979255388993768,0.97053478087517,0.987975997112366,2.09832151654155e-14
"WT.T8A-T8A",0.000669125535092279,-0.00805148258350577,0.00938973365369033,0.99999535422858
"TN-T8A",0.978370162746579,0.969649554627981,0.987090770865177,2.09832151654155e-14
"TN-WT.T8A",0.977701037211487,0.968980429092889,0.986421645330085,2.09832151654155e-14
