"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"T8A-T8A.N3A",0.000444666666666635,-0.181211658952157,0.18210099228549,1
"WT-T8A.N3A",0.0389043209876542,-0.142752004631169,0.220560646606478,0.99402058014542
"WT.T8A-T8A.N3A",0.0489462962962963,-0.132710029322527,0.23060262191512,0.977792643620472
"TP-T8A.N3A",0.0696499999999999,-0.112006325618823,0.251306325618823,0.875439531786984
"N3A-T8A.N3A",0.167363086419753,-0.0142932391990702,0.349019412038576,0.0825773451873894
"WT.N3A-T8A.N3A",0.188908765432099,0.00725243981327536,0.370565091050922,0.0385331633682447
"TN-T8A.N3A",0.477882617283951,0.296226291665127,0.659538942902774,2.25214167659527e-06
"WT-T8A",0.0384596543209876,-0.143196671297836,0.220115979939811,0.994417136332019
"WT.T8A-T8A",0.0485016296296296,-0.133154695989194,0.230157955248453,0.978870550303195
"TP-T8A",0.0692053333333333,-0.11245099228549,0.250861658952157,0.878797674552548
"N3A-T8A",0.166918419753086,-0.0147379058657369,0.34857474537191,0.0838509638583033
"WT.N3A-T8A",0.188464098765432,0.00680777314660874,0.370120424384255,0.039157199617575
"TN-T8A",0.477437950617284,0.295781624998461,0.659094276236107,2.28046668615534e-06
"WT.T8A-WT",0.010041975308642,-0.171614350310181,0.191698300927465,0.999999240395288
"TP-WT",0.0307456790123457,-0.150910646606478,0.212402004631169,0.998595125501111
"N3A-WT",0.128458765432099,-0.0531975601867245,0.310115091050922,0.283387775725249
"WT.N3A-WT",0.150004444444444,-0.0316518811743789,0.331660770063268,0.147475574507866
"TN-WT",0.438978296296296,0.257321970677473,0.62063462191512,6.92852046357828e-06
"TP-WT.T8A",0.0207037037037036,-0.16095262191512,0.202360029322527,0.999893591188537
"N3A-WT.T8A",0.118416790123457,-0.0632395354953665,0.30007311574228,0.37126864106782
"WT.N3A-WT.T8A",0.139962469135802,-0.0416938564830209,0.321618794754626,0.20215283992186
"TN-WT.T8A",0.428936320987654,0.247279995368831,0.610592646606478,9.35512911404146e-06
"N3A-TP",0.0977130864197532,-0.0839432391990701,0.279369412038577,0.591734611332299
"WT.N3A-TP",0.119258765432099,-0.0623975601867245,0.300915091050922,0.363315152293412
"TN-TP",0.408232617283951,0.226576291665127,0.589888942902774,1.76137252232422e-05
"WT.N3A-N3A",0.0215456790123456,-0.160110646606478,0.203202004631169,0.999861177475629
"TN-N3A",0.310519530864198,0.128863205245374,0.492175856483021,0.000449633554002959
"TN-WT.N3A",0.288973851851852,0.107317526233029,0.470630177470675,0.00096904540695486
