"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"T8A.N3A-T8A",2463.33333333364,-2184309.22152833,2189235.88819499,1
"WT.T8A-T8A",124380,-2062392.55486166,2311152.55486166,0.999999074737777
"WT-T8A",211580,-1975192.55486166,2398352.55486166,0.999964650160094
"TP-T8A",640580,-1546192.55486166,2827352.55486166,0.965345666273399
"WT.N3A-T8A",1132580,-1054192.55486166,3319352.55486166,0.632836108772005
"N3A-T8A",2994246.66666667,807474.111805006,5181019.22152833,0.00422649629014737
"TN-T8A",5838143.33333333,3651370.77847167,8024915.88819499,1.84690462157189e-06
"WT.T8A-T8A.N3A",121916.666666667,-2064855.88819499,2308689.22152833,0.999999194362374
"WT-T8A.N3A",209116.666666666,-1977655.88819499,2395889.22152833,0.999967345482436
"TP-T8A.N3A",638116.666666667,-1548655.88819499,2824889.22152833,0.966034273241468
"WT.N3A-T8A.N3A",1130116.66666667,-1056655.88819499,3316889.22152833,0.635147747662478
"N3A-T8A.N3A",2991783.33333333,805010.778471673,5178555.88819499,0.00425866096213057
"TN-T8A.N3A",5835680,3648907.44513834,8022452.55486166,1.8574504264679e-06
"WT-WT.T8A",87199.9999999996,-2099572.55486166,2273972.55486166,0.999999921376504
"TP-WT.T8A",516200,-1670572.55486166,2702972.55486166,0.989421200481711
"WT.N3A-WT.T8A",1008200,-1178572.55486166,3194972.55486166,0.746195009579012
"N3A-WT.T8A",2869866.66666667,683094.111805006,5056639.22152833,0.00620161366503291
"TN-WT.T8A",5713763.33333333,3526990.77847167,7900535.88819499,2.46712715934461e-06
"TP-WT",429000,-1757772.55486166,2615772.55486166,0.996478940353812
"WT.N3A-WT",921000,-1265772.55486166,3107772.55486166,0.817650798953512
"N3A-WT",2782666.66666667,595894.111805006,4969439.22152833,0.00811820542845598
"TN-WT",5626563.33333333,3439790.77847167,7813335.88819499,3.03002447721301e-06
"WT.N3A-TP",492000,-1694772.55486166,2678772.55486166,0.991997258147004
"N3A-TP",2353666.66666667,166894.111805006,4540439.22152833,0.0303084125570762
"TN-TP",5197563.33333333,3010790.77847167,7384335.88819499,8.59283503584773e-06
"N3A-WT.N3A",1861666.66666667,-325105.888194994,4048439.22152833,0.126766720626475
"TN-WT.N3A",4705563.33333333,2518790.77847167,6892335.88819499,3.03560234066191e-05
"TN-N3A",2843896.66666667,657124.111805006,5030669.22152833,0.00671933931133073
