"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"T8A.N3A-T8A",5.43252554052742e-10,-1885825.67759435,1885825.67759435,1
"N3A-T8A",20356.6666666657,-1865469.01092769,1906182.34426102,0.999999999991525
"WT-T8A",98723.3333333341,-1787102.34426102,1984549.01092769,0.999999479112079
"WT.T8A-T8A",106989.999999999,-1778835.67759436,1992815.67759435,0.999999090889402
"TP-T8A",128323.333333333,-1757502.34426102,2014149.01092769,0.999996810509481
"WT.N3A-T8A",310489.999999999,-1575335.67759436,2196315.67759435,0.998820742014219
"TN-T8A",8585436.66666666,6699610.98907231,10471262.344261,8.38730196406345e-10
"N3A-T8A.N3A",20356.6666666651,-1865469.01092769,1906182.34426102,0.999999999991525
"WT-T8A.N3A",98723.3333333336,-1787102.34426102,1984549.01092769,0.999999479112079
"WT.T8A-T8A.N3A",106989.999999999,-1778835.67759436,1992815.67759435,0.999999090889402
"TP-T8A.N3A",128323.333333332,-1757502.34426102,2014149.01092769,0.999996810509481
"WT.N3A-T8A.N3A",310489.999999999,-1575335.67759436,2196315.67759435,0.998820742014219
"TN-T8A.N3A",8585436.66666666,6699610.98907231,10471262.344261,8.38730196406345e-10
"WT-N3A",78366.6666666684,-1807459.01092769,1964192.34426102,0.999999895232235
"WT.T8A-N3A",86633.3333333335,-1799192.34426102,1972459.01092769,0.999999789612577
"TP-N3A",107966.666666667,-1777859.01092769,1993792.34426102,0.999999031894772
"WT.N3A-N3A",290133.333333334,-1595692.34426102,2175959.01092769,0.99923586130496
"TN-N3A",8565080,6679254.32240565,10450905.6775944,8.7051033048624e-10
"WT.T8A-WT",8266.66666666504,-1877559.01092769,1894092.34426102,1
"TP-WT",29599.9999999987,-1856225.67759436,1915425.67759435,0.999999999882965
"WT.N3A-WT",211766.666666665,-1674059.01092769,2097592.34426102,0.999903639489154
"TN-WT",8486713.33333333,6600887.65573898,10372539.0109277,1.0050148491203e-09
"TP-WT.T8A",21333.3333333336,-1864492.34426102,1907159.01092769,0.999999999988204
"WT.N3A-WT.T8A",203500,-1682325.67759435,2089325.67759435,0.999926214786218
"TN-WT.T8A",8478446.66666667,6592620.98907231,10364272.344261,1.02040931260206e-09
"WT.N3A-TP",182166.666666667,-1703659.01092769,2067992.34426102,0.999965035786335
"TN-TP",8457113.33333333,6571287.65573898,10342939.0109277,1.06127684418311e-09
"TN-WT.N3A",8274946.66666667,6389120.98907231,10160772.344261,1.48731449378658e-09
