"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"WT-WT.T8A",30.0000000000388,-237996.152579859,238056.152579859,1
"T8A.N3A-WT.T8A",526.666666666759,-237499.485913193,238552.819246526,1
"T8A-WT.T8A",1379.99999999997,-236646.152579859,239406.152579859,1
"TP-WT.T8A",4033.33333333336,-233992.819246526,242059.485913193,0.999999999800071
"WT.N3A-WT.T8A",7096.66666666666,-230929.485913193,245122.819246526,0.999999989639396
"N3A-WT.T8A",36376.6666666667,-201649.485913193,274402.819246526,0.9992680009691
"TN-WT.T8A",582636.666666667,344610.514086807,820662.819246526,5.85778232264911e-06
"T8A.N3A-WT",496.66666666672,-237529.485913193,238522.819246526,1
"T8A-WT",1349.99999999993,-236676.152579859,239376.152579859,1
"TP-WT",4003.33333333332,-234022.819246526,242029.485913193,0.999999999810241
"WT.N3A-WT",7066.66666666662,-230959.485913193,245092.819246526,0.999999989941174
"N3A-WT",36346.6666666667,-201679.485913193,274372.819246526,0.999271882253697
"TN-WT",582606.666666667,344580.514086807,820632.819246526,5.86173356642572e-06
"T8A-T8A.N3A",853.333333333212,-237172.819246526,238879.485913193,1
"TP-T8A.N3A",3506.6666666666,-234519.485913193,241532.819246526,0.999999999924885
"WT.N3A-T8A.N3A",6569.9999999999,-231456.152579859,244596.152579859,0.999999993951421
"N3A-T8A.N3A",35849.9999999999,-202176.152579859,273876.152579859,0.999333727908709
"TN-T8A.N3A",582110,344083.847420141,820136.152579859,5.9275561684613e-06
"TP-T8A",2653.33333333339,-235372.819246526,240679.485913193,0.99999999998937
"WT.N3A-T8A",5716.66666666669,-232309.485913193,243742.819246526,0.9999999977107
"N3A-T8A",34996.6666666667,-203029.485913193,273022.819246526,0.999429899582935
"TN-T8A",581256.666666667,343230.514086807,819282.819246526,6.04246276292297e-06
"WT.N3A-TP",3063.3333333333,-234962.819246526,241089.485913193,0.999999999970843
"N3A-TP",32343.3333333333,-205682.819246526,270369.485913193,0.999659043024216
"TN-TP",578603.333333333,340577.180753474,816629.485913193,6.41490521391397e-06
"N3A-WT.N3A",29280,-208746.152579859,267306.152579859,0.999823111139487
"TN-WT.N3A",575540,337513.847420141,813566.152579859,6.87501305673965e-06
"TN-N3A",546260,308233.847420141,784286.152579859,1.34869129247983e-05
