"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"T8A-T8A.N3A",1.5522042910258e-10,-6632850.26156804,6632850.26156804,1
"WT.T8A-T8A.N3A",423.333333333256,-6632426.9282347,6633273.59490137,1
"TP-T8A.N3A",2563.33333333279,-6630286.9282347,6635413.59490137,1
"WT.N3A-T8A.N3A",16859.9999999993,-6615990.26156804,6649710.26156803,1
"WT-T8A.N3A",17153.3333333323,-6615696.9282347,6650003.59490137,1
"N3A-T8A.N3A",32096.6666666669,-6600753.59490137,6664946.9282347,1
"TN-T8A.N3A",9447570,2814719.73843196,16080420.261568,0.00291930153710174
"WT.T8A-T8A",423.3333333331,-6632426.9282347,6633273.59490137,1
"TP-T8A",2563.33333333263,-6630286.9282347,6635413.59490137,1
"WT.N3A-T8A",16859.9999999991,-6615990.26156804,6649710.26156803,1
"WT-T8A",17153.3333333322,-6615696.9282347,6650003.59490137,1
"N3A-T8A",32096.6666666667,-6600753.59490137,6664946.9282347,1
"TN-T8A",9447570,2814719.73843196,16080420.261568,0.00291930153710174
"TP-WT.T8A",2139.99999999953,-6630710.26156804,6634990.26156804,1
"WT.N3A-WT.T8A",16436.666666666,-6616413.59490137,6649286.9282347,1
"WT-WT.T8A",16729.9999999991,-6616120.26156804,6649580.26156803,1
"N3A-WT.T8A",31673.3333333336,-6601176.9282347,6664523.59490137,1
"TN-WT.T8A",9447146.66666667,2814296.40509863,16079996.9282347,0.00292054972213962
"WT.N3A-TP",14296.6666666665,-6618553.59490137,6647146.9282347,1
"WT-TP",14589.9999999995,-6618260.26156804,6647440.26156804,1
"N3A-TP",29533.3333333341,-6603316.9282347,6662383.59490137,1
"TN-TP",9445006.66666667,2812156.40509863,16077856.9282347,0.0029268677425659
"WT-WT.N3A",293.333333333023,-6632556.9282347,6633143.59490137,1
"N3A-WT.N3A",15236.6666666676,-6617613.59490137,6648086.9282347,1
"TN-WT.N3A",9430710,2797859.73843196,16063560.261568,0.00296943396744065
"N3A-WT",14943.3333333346,-6617906.9282347,6647793.59490137,1
"TN-WT",9430416.66666667,2797566.40509863,16063266.9282347,0.00297031387309155
"TN-N3A",9415473.33333333,2782623.0717653,16048323.5949014,0.00301549101338383
