"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"TP-T8A.N3A",3773.3333333324,-11117023.5624956,11124570.2291622,1
"T8A-T8A.N3A",39000.0000000002,-11081796.8958289,11159796.8958289,1
"WT.T8A-T8A.N3A",114396.666666665,-11006400.2291622,11235193.5624956,0.999999999993969
"WT-T8A.N3A",138310,-10982486.8958289,11259106.8958289,0.999999999977062
"N3A-T8A.N3A",321233.333333332,-10799563.5624956,11442030.2291622,0.999999991692574
"WT.N3A-T8A.N3A",2381666.66666667,-8739130.22916223,13502463.5624956,0.994020764328039
"TN-T8A.N3A",14287486.6666667,3166689.77083777,25408283.5624956,0.00747325744392502
"T8A-TP",35226.6666666678,-11085570.2291622,11156023.5624956,1
"WT.T8A-TP",110623.333333333,-11010173.5624956,11231420.2291622,0.999999999995264
"WT-TP",134536.666666668,-10986260.2291622,11255333.5624956,0.999999999981108
"N3A-TP",317459.999999999,-10803336.8958289,11438256.8958289,0.999999992350176
"WT.N3A-TP",2377893.33333333,-8742903.56249556,13498690.2291622,0.994077003804139
"TN-TP",14283713.3333333,3162916.43750444,25404510.2291622,0.00749040467876327
"WT.T8A-T8A",75396.6666666653,-11045400.2291622,11196193.5624956,1
"WT-T8A",99309.9999999998,-11021486.8958289,11220106.8958289,0.999999999997821
"N3A-T8A",282233.333333332,-10838563.5624956,11403030.2291622,0.999999996634757
"WT.N3A-T8A",2342666.66666667,-8778130.22916223,13463463.5624956,0.994582376829901
"TN-T8A",14248486.6666667,3127689.77083777,25369283.5624956,0.00765239948133156
"WT-WT.T8A",23913.3333333346,-11096883.5624956,11144710.2291622,1
"N3A-WT.T8A",206836.666666666,-10913960.2291622,11327633.5624956,0.999999999616517
"WT.N3A-WT.T8A",2267270,-8853526.8958289,13388066.8958289,0.995550626918598
"TN-WT.T8A",14173090,3052293.10417111,25293886.8958289,0.00801100804530008
"N3A-WT",182923.333333332,-10937873.5624956,11303720.2291622,0.999999999837589
"WT.N3A-WT",2243356.66666667,-8877440.22916223,13364153.5624956,0.995827391140772
"TN-WT",14149176.6666667,3028379.77083777,25269973.5624956,0.00812822316448103
"WT.N3A-N3A",2060433.33333333,-9060363.56249556,13181230.2291622,0.997523857006085
"TN-N3A",13966253.3333333,2845456.43750444,25087050.2291622,0.00908345069810268
"TN-WT.N3A",11905820,785023.104171107,23026616.8958289,0.0314803173113533
