"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"TP-T8A.N3A",1633.33333333225,-9993977.74445518,9997244.41112184,1
"T8A-T8A.N3A",9393.33333333333,-9986217.74445518,10005004.4111218,1
"WT.T8A-T8A.N3A",27379.9999999978,-9968231.07778851,10022991.0777885,1
"WT-T8A.N3A",43033.3333333302,-9952577.74445518,10038644.4111218,1
"N3A-T8A.N3A",200233.333333331,-9795377.74445518,10195844.4111218,0.999999999355675
"WT.N3A-T8A.N3A",565243.333333332,-9430367.74445518,10560854.4111218,0.999999111164919
"TN-T8A.N3A",17795616.6666667,7800005.58887815,27791227.7444552,0.000286442054421632
"T8A-TP",7760.00000000109,-9987851.07778851,10003371.0777885,1
"WT.T8A-TP",25746.6666666656,-9969864.41112185,10021357.7444552,1
"WT-TP",41399.999999998,-9954211.07778851,10037011.0777885,1
"N3A-TP",198599.999999999,-9797011.07778851,10194211.0777885,0.999999999391528
"WT.N3A-TP",563610,-9432001.07778851,10559221.0777885,0.999999128788039
"TN-TP",17793983.3333333,7798372.25554482,27789594.4111218,0.000286737387070191
"WT.T8A-T8A",17986.6666666645,-9977624.41112185,10013597.7444552,1
"WT-T8A",33639.9999999969,-9961971.07778852,10029251.0777885,1
"N3A-T8A",190839.999999998,-9804771.07778851,10186451.0777885,0.999999999539496
"WT.N3A-T8A",555849.999999999,-9439761.07778851,10551461.0777885,0.999999208506681
"TN-T8A",17786223.3333333,7790612.25554482,27781834.4111218,0.000288144826844472
"WT-WT.T8A",15653.3333333324,-9979957.74445518,10011264.4111218,1
"N3A-WT.T8A",172853.333333333,-9822757.74445518,10168464.4111218,0.999999999769521
"WT.N3A-WT.T8A",537863.333333334,-9457747.74445518,10533474.4111218,0.999999369747641
"TN-WT.T8A",17768236.6666667,7772625.58887816,27763847.7444552,0.00029143462825687
"N3A-WT",157200.000000001,-9838411.07778851,10152811.0777885,0.999999999881346
"WT.N3A-WT",522210.000000002,-9473401.07778851,10517821.0777885,0.999999486397028
"TN-WT",17752583.3333333,7756972.25554482,27748194.4111218,0.000294329264162618
"WT.N3A-N3A",365010.000000001,-9630601.07778851,10360621.0777885,0.999999957398435
"TN-N3A",17595383.3333333,7599772.25554482,27590994.4111218,0.000325101588279808
"TN-WT.N3A",17230373.3333333,7234762.25554482,27225984.4111218,0.000410060370372389
