"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"TP-T8A.N3A",9959.99999999907,-1458145.08734223,1478065.08734223,1
"N3A-T8A.N3A",15366.6666666657,-1452738.42067556,1483471.75400889,0.999999999993182
"WT.T8A-T8A.N3A",16526.666666666,-1451578.42067556,1484631.75400889,0.999999999988602
"T8A-T8A.N3A",23226.6666666663,-1444878.42067556,1491331.75400889,0.999999999876299
"WT.N3A-T8A.N3A",23726.6666666658,-1444378.42067556,1491831.75400889,0.99999999985643
"WT-T8A.N3A",31059.9999999989,-1437045.08734223,1499165.08734223,0.9999999990562
"TN-T8A.N3A",5270213.33333333,3802108.2459911,6738318.42067556,2.89745178960743e-08
"N3A-TP",5406.66666666663,-1462698.42067556,1473511.75400889,1
"WT.T8A-TP",6566.66666666698,-1461538.42067556,1474671.7540089,1
"T8A-TP",13266.6666666672,-1454838.42067556,1481371.7540089,0.999999999997633
"WT.N3A-TP",13766.6666666667,-1454338.42067556,1481871.7540089,0.999999999996899
"WT-TP",21099.9999999998,-1447005.08734223,1489205.08734223,0.999999999936821
"TN-TP",5260253.33333333,3792148.2459911,6728358.42067556,2.97758030454176e-08
"WT.T8A-N3A",1160.00000000035,-1466945.08734223,1469265.08734223,1
"T8A-N3A",7860.00000000062,-1460245.08734223,1475965.08734223,1
"WT.N3A-N3A",8360.00000000012,-1459745.08734223,1476465.08734223,1
"WT-N3A",15693.3333333332,-1452411.7540089,1483798.42067556,0.999999999992095
"TN-N3A",5254846.66666667,3786741.57932444,6722951.75400889,3.02205858115911e-08
"T8A-WT.T8A",6700.00000000027,-1461405.08734223,1474805.08734223,1
"WT.N3A-WT.T8A",7199.99999999977,-1460905.08734223,1475305.08734223,1
"WT-WT.T8A",14533.3333333328,-1453571.7540089,1482638.42067556,0.999999999995421
"TN-WT.T8A",5253686.66666667,3785581.57932444,6721791.75400889,3.03169294113559e-08
"WT.N3A-T8A",499.999999999494,-1467605.08734223,1468605.08734223,1
"WT-T8A",7833.33333333255,-1460271.7540089,1475938.42067556,1
"TN-T8A",5246986.66666667,3778881.57932444,6715091.75400889,3.08798104864394e-08
"WT-WT.N3A",7333.33333333306,-1460771.7540089,1475438.42067556,1
"TN-WT.N3A",5246486.66666667,3778381.57932444,6714591.75400889,3.09222588645852e-08
"TN-WT",5239153.33333333,3771048.2459911,6707258.42067556,3.15519972371447e-08
