"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"T8A.N3A-WT.N3A",549.000000000051,-299633.639905462,300731.639905462,1
"WT-WT.N3A",3777.25000000032,-296405.389905462,303959.889905462,0.999999999984323
"TP-WT.N3A",4595.75000000009,-295586.889905462,304778.389905462,0.999999999938037
"T8A-WT.N3A",6723.24999999998,-293459.389905462,306905.889905462,0.999999999113425
"WT.T8A-WT.N3A",36336.5000000001,-263846.139905462,336519.139905462,0.999896636413985
"N3A-WT.N3A",71170.75,-229011.889905462,371353.389905462,0.992379937796779
"TN-WT.N3A",807113.5,506930.860094538,1107296.13990546,1.15287405177966e-07
"WT-T8A.N3A",3228.25000000027,-296954.389905462,303410.889905462,0.999999999994817
"TP-T8A.N3A",4046.75000000004,-296135.889905462,304229.389905462,0.999999999974579
"T8A-T8A.N3A",6174.24999999993,-294008.389905462,306356.889905462,0.999999999511241
"WT.T8A-T8A.N3A",35787.5,-264395.139905462,335970.139905462,0.99990667225692
"N3A-T8A.N3A",70621.7499999999,-229560.889905462,370804.389905462,0.992722835498774
"TN-T8A.N3A",806564.5,506381.860094538,1106747.13990546,1.16749896306167e-07
"TP-WT",818.499999999764,-299364.139905462,301001.139905462,1
"T8A-WT",2945.99999999965,-297236.639905462,303128.639905462,0.999999999997316
"WT.T8A-WT",32559.2499999997,-267623.389905462,332741.889905462,0.999950641078155
"N3A-WT",67393.4999999997,-232789.139905462,367576.139905462,0.99450330896191
"TN-WT",803336.25,503153.610094538,1103518.88990546,1.25744614276613e-07
"T8A-TP",2127.49999999989,-298055.139905462,302310.139905462,1
"WT.T8A-TP",31740.75,-268441.889905462,331923.389905462,0.999958453289354
"N3A-TP",66574.9999999999,-233607.639905462,366757.639905462,0.994895023208669
"TN-TP",802517.75,502335.110094538,1102700.38990546,1.28136500077147e-07
"WT.T8A-T8A",29613.2500000001,-270569.389905462,329795.889905462,0.999974057782962
"N3A-T8A",64447.5,-235735.139905462,364630.139905462,0.9958109635355
"TN-T8A",800390.25,500207.610094538,1100572.88990546,1.34575134147497e-07
"N3A-WT.T8A",34834.2499999999,-265348.389905462,335016.889905462,0.999922158172342
"TN-WT.T8A",770777,470594.360094538,1070959.63990546,2.68212161369519e-07
"TN-N3A",735942.75,435760.110094538,1036125.38990546,6.14219015426798e-07
