"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"T8A-T8A.N3A",612.333333333256,-247033.070040425,248257.736707092,1
"WT-T8A.N3A",43855.6666666667,-203789.736707092,291501.070040425,0.998131798760699
"WT.T8A-T8A.N3A",65599,-182046.403373759,313244.403373759,0.979766889535899
"TP-T8A.N3A",88422.3333333333,-159223.070040425,336067.736707092,0.90892687374106
"N3A-T8A.N3A",195055.666666667,-52589.736707092,442701.070040425,0.183640292020133
"WT.N3A-T8A.N3A",208289,-39356.4033737587,455934.403373759,0.134746783782714
"TN-T8A.N3A",554611.333333333,306965.929959575,802256.736707092,1.83997119126422e-05
"WT-T8A",43243.3333333334,-204402.070040425,290888.736707092,0.99828957336798
"WT.T8A-T8A",64986.6666666667,-182658.736707092,312632.070040425,0.980783502970533
"TP-T8A",87810,-159835.403373759,335455.403373759,0.911759335577536
"N3A-T8A",194443.333333333,-53202.0700404253,442088.736707092,0.186219340904203
"WT.N3A-T8A",207676.666666667,-39968.736707092,455322.070040425,0.136735088517273
"TN-T8A",553999,306353.596626241,801644.403373759,1.8658402430094e-05
"WT.T8A-WT",21743.3333333333,-225902.070040425,269388.736707092,0.999981718873301
"TP-WT",44566.6666666666,-203078.736707092,292212.070040425,0.99793410913602
"N3A-WT",151200,-96445.4033737587,398845.403373759,0.446400442653142
"WT.N3A-WT",164433.333333333,-83212.0700404254,412078.736707092,0.350698618874855
"TN-WT",510755.666666667,263110.263292908,758401.070040425,5.11496441742976e-05
"TP-WT.T8A",22823.3333333333,-224822.070040425,270468.736707092,0.999974580300157
"N3A-WT.T8A",129456.666666667,-118188.736707092,377102.070040425,0.622918904508492
"WT.N3A-WT.T8A",142690,-104955.403373759,390335.403373759,0.513687685217713
"TN-WT.T8A",489012.333333333,241366.929959575,736657.736707092,8.63710924545735e-05
"N3A-TP",106633.333333333,-141012.070040425,354278.736707092,0.801622094149262
"WT.N3A-TP",119866.666666667,-127778.736707092,367512.070040425,0.701495270521996
"TN-TP",466189,218543.596626241,713834.403373759,0.000151504344659825
"WT.N3A-N3A",13233.3333333333,-234412.070040425,260878.736707092,0.999999399426402
"TN-N3A",359555.666666667,111910.263292908,607201.070040425,0.00242828366270909
"TN-WT.N3A",346322.333333333,98676.9299595747,593967.736707092,0.0034730517278142
