"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"T8A-T8A.N3A",0.0015216885549092,-0.208637645983062,0.211681023092881,1
"N3A-T8A.N3A",0.00199973110315994,-0.208159603434812,0.212159065641131,0.999999999996557
"WT-T8A.N3A",0.0530419247709225,-0.157117409767049,0.263201259308894,0.984525620710899
"TP-T8A.N3A",0.0594729246579454,-0.150686409880026,0.269632259195917,0.971096774007685
"WT.T8A-T8A.N3A",0.0998491803185384,-0.110310154219433,0.31000851485651,0.71906840104994
"WT.N3A-T8A.N3A",0.152525798786393,-0.0576335357515788,0.362685133324364,0.257354004831085
"TN-T8A.N3A",0.631083602756641,0.420924268218669,0.841242937294612,3.67307435023001e-07
"N3A-T8A",0.000478042548250739,-0.209681291989721,0.210637377086222,1
"WT-T8A",0.0515202362160133,-0.158639098321958,0.261679570753985,0.986868854123526
"TP-T8A",0.0579512361030362,-0.152208098434935,0.268110570641008,0.974833377297556
"WT.T8A-T8A",0.0983274917636292,-0.111831842774342,0.308486826301601,0.733132409300398
"WT.N3A-T8A",0.151004110231484,-0.059155224306488,0.361163444769455,0.267267139603266
"TN-T8A",0.629561914201731,0.41940257966376,0.839721248739703,3.79897495239589e-07
"WT-N3A",0.0510421936677626,-0.159117140870209,0.261201528205734,0.987546760085065
"TP-N3A",0.0574731935547855,-0.152686140983186,0.267632528092757,0.975931968817919
"WT.T8A-N3A",0.0978494492153784,-0.112309885322593,0.30800878375335,0.737507341549023
"WT.N3A-N3A",0.150526067683233,-0.0596332668547387,0.360685402221204,0.270438139543404
"TN-N3A",0.629083871653481,0.418924537115509,0.839243206191452,3.83945856885504e-07
"TP-WT",0.00643099988702293,-0.203728334650949,0.216590334424994,0.999999987576981
"WT.T8A-WT",0.0468072555476158,-0.163352078990356,0.256966590085587,0.992459190379274
"WT.N3A-WT",0.0994838740154702,-0.110675460522501,0.309643208553442,0.722463040277012
"TN-WT",0.578041677985718,0.367882343447747,0.78820101252369,1.23320917611025e-06
"WT.T8A-TP",0.0403762556605929,-0.169783078877379,0.250535590198564,0.996902277806427
"WT.N3A-TP",0.0930528741284473,-0.117106460409524,0.303212208666419,0.780063312588509
"TN-TP",0.571610678098695,0.361451343560724,0.781770012636667,1.43580657729903e-06
"WT.N3A-WT.T8A",0.0526766184678544,-0.157482716070117,0.262835953005826,0.985114558450931
"TN-WT.T8A",0.531234422438102,0.321075087900131,0.741393756976074,3.83524914704392e-06
"TN-WT.N3A",0.478557803970248,0.268398469432276,0.688717138508219,1.48979174439123e-05
