"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"T8A-T8A.N3A",23703.333333331,-10967414.6095576,11014821.2762243,1
"N3A-T8A.N3A",43556.6666666645,-10947561.2762243,11034674.6095576,1
"WT.T8A-T8A.N3A",1290890,-9700227.94289095,12282007.9428909,0.999869962366317
"WT-T8A.N3A",1615556.66666667,-9375561.27622428,12606674.6095576,0.99943093413414
"TP-T8A.N3A",1858890,-9132227.94289095,12850007.9428909,0.99860169367805
"WT.N3A-T8A.N3A",5183223.33333333,-5807894.60955762,16174341.2762243,0.725948199253187
"TN-T8A.N3A",17244633.3333333,6253515.39044239,28235751.2762243,0.00111801785647958
"N3A-T8A",19853.3333333335,-10971264.6095576,11010971.2762243,1
"WT.T8A-T8A",1267186.66666667,-9723931.27622428,12258304.6095576,0.999885083160009
"WT-T8A",1591853.33333333,-9399264.60955761,12582971.2762243,0.999482988233525
"TP-T8A",1835186.66666667,-9155931.27622428,12826304.6095576,0.998710862178672
"WT.N3A-T8A",5159520,-5831597.94289095,16150637.9428909,0.730129054405946
"TN-T8A",17220930,6229812.05710906,28212047.9428909,0.00113396972723867
"WT.T8A-N3A",1247333.33333333,-9743784.60955761,12238451.2762243,0.999896589304384
"WT-N3A",1572000,-9419117.94289095,12563117.9428909,0.999523510253343
"TP-N3A",1815333.33333333,-9175784.60955762,12806451.2762243,0.99879688129631
"WT.N3A-N3A",5139666.66666667,-5851451.27622428,16130784.6095576,0.733616514869355
"TN-N3A",17201076.6666667,6209958.72377572,28192194.6095576,0.00114751003064728
"WT-WT.T8A",324666.666666667,-10666451.2762243,11315784.6095576,0.999999990289607
"TP-WT.T8A",567999.999999999,-10423117.9428909,11559117.9428909,0.999999523743611
"WT.N3A-WT.T8A",3892333.33333333,-7098784.60955761,14883451.2762243,0.912263565135632
"TN-WT.T8A",15953743.3333333,4962625.39044239,26944861.2762243,0.00243453220899237
"TP-WT",243333.333333332,-10747784.6095576,11234451.2762243,0.999999998703829
"WT.N3A-WT",3567666.66666667,-7423451.27622428,14558784.6095576,0.941850676137961
"TN-WT",15629076.6666667,4637958.72377572,26620194.6095576,0.00296635770369624
"WT.N3A-TP",3324333.33333333,-7666784.60955761,14315451.2762243,0.959132654583954
"TN-TP",15385743.3333333,4394625.39044239,26376861.2762243,0.00344116823478502
"TN-WT.N3A",12061410,1070292.05710906,23052527.9428909,0.026353044863505
