"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"TP-T8A.N3A",1.45519152283669e-11,-32789.9355013478,32789.9355013478,1
"WT.N3A-T8A.N3A",2.27373675443232e-11,-32789.9355013478,32789.9355013478,1
"N3A-T8A.N3A",279.750000000029,-32510.1855013478,33069.6855013478,0.999999999999078
"T8A-T8A.N3A",836.250000000005,-31953.6855013478,33626.1855013478,0.999999997802806
"WT.T8A-T8A.N3A",899.500000000015,-31890.4355013478,33689.4355013478,0.999999996343488
"WT-T8A.N3A",3081.25000000002,-29708.6855013478,35871.1855013478,0.999981370873428
"TN-T8A.N3A",231153.25,198363.314498652,263943.185501348,2.12052597703405e-14
"WT.N3A-TP",8.18545231595635e-12,-32789.9355013478,32789.9355013478,1
"N3A-TP",279.750000000015,-32510.1855013478,33069.6855013478,0.999999999999078
"T8A-TP",836.24999999999,-31953.6855013478,33626.1855013478,0.999999997802806
"WT.T8A-TP",899.5,-31890.4355013478,33689.4355013478,0.999999996343488
"WT-TP",3081.25000000001,-29708.6855013478,35871.1855013478,0.999981370873428
"TN-TP",231153.25,198363.314498652,263943.185501348,2.12052597703405e-14
"N3A-WT.N3A",279.750000000006,-32510.1855013478,33069.6855013478,0.999999999999078
"T8A-WT.N3A",836.249999999982,-31953.6855013478,33626.1855013478,0.999999997802806
"WT.T8A-WT.N3A",899.499999999992,-31890.4355013478,33689.4355013478,0.999999996343488
"WT-WT.N3A",3081.25,-29708.6855013478,35871.1855013478,0.999981370873428
"TN-WT.N3A",231153.25,198363.314498652,263943.185501348,2.12052597703405e-14
"T8A-N3A",556.499999999975,-32233.4355013478,33346.4355013478,0.999999999872556
"WT.T8A-N3A",619.749999999985,-32170.1855013478,33409.6855013478,0.999999999729409
"WT-N3A",2801.49999999999,-29988.4355013478,35591.4355013478,0.999990281149811
"TN-N3A",230873.5,198083.564498652,263663.435501348,2.12052597703405e-14
"WT.T8A-T8A",63.25000000001,-32726.6855013478,32853.1855013478,1
"WT-T8A",2245.00000000002,-30544.9355013478,35034.9355013478,0.999997881646061
"TN-T8A",230317,197527.064498652,263106.935501348,2.12052597703405e-14
"WT-WT.T8A",2181.75000000001,-30608.1855013478,34971.6855013478,0.999998261083997
"TN-WT.T8A",230253.75,197463.814498652,263043.685501348,2.12052597703405e-14
"TN-WT",228072,195282.064498652,260861.935501348,2.12052597703405e-14
