"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"TP-T8A.N3A",6.28009630817411e-05,-0.00552786700072996,0.00565346892689344,0.999999999995623
"N3A-T8A.N3A",0.000533010294180888,-0.00505765766963081,0.00612367825799259,0.999986959154804
"WT.N3A-T8A.N3A",0.000571327880575873,-0.00501934008323583,0.00616199584438757,0.999979035942439
"WT.T8A-T8A.N3A",0.00163433762118094,-0.00395633034263076,0.00722500558499264,0.981924626033724
"T8A-T8A.N3A",0.00605623440305285,0.000465566439241155,0.0116469023668646,0.0251808602975543
"WT-T8A.N3A",0.00662682796132175,0.00103615999751005,0.0122174959251334,0.0102188136713339
"TN-T8A.N3A",0.984515460876606,0.978924792912794,0.990106128840417,0
"N3A-TP",0.000470209331099147,-0.00512045863271255,0.00606087729491085,0.999994485920098
"WT.N3A-TP",0.000508526917494131,-0.00508214104631757,0.00609919488130583,0.99999055291263
"WT.T8A-TP",0.0015715366580992,-0.0040191313057125,0.0071622046219109,0.985563707112472
"T8A-TP",0.00599343343997111,0.000402765476159414,0.0115841014037828,0.0276994574595836
"WT-TP",0.00656402699824001,0.000973359034428307,0.0121546949620517,0.0113185862303398
"TN-TP",0.984452659913524,0.978861991949712,0.990043327877336,0
"WT.N3A-N3A",3.83175863949842e-05,-0.00555235037741672,0.00562898555020668,1
"WT.T8A-N3A",0.00110132732700005,-0.00448934063681165,0.00669199529081175,0.998355262892168
"T8A-N3A",0.00552322410887197,-6.74438549397331e-05,0.0111138920726837,0.0549927814444209
"WT-N3A",0.00609381766714086,0.00050314970332916,0.0116844856309526,0.0237751148792771
"TN-N3A",0.983982450582425,0.978391782618613,0.989573118546237,0
"WT.T8A-WT.N3A",0.00106300974060507,-0.00452765822320663,0.00665367770441677,0.998688635044224
"T8A-WT.N3A",0.00548490652247698,-0.000105761441334717,0.0110755744862887,0.0580192817589674
"WT-WT.N3A",0.00605550008074588,0.000464832116934176,0.0116461680445576,0.0252090650215721
"TN-WT.N3A",0.98394413299603,0.978353465032218,0.989534800959842,0
"T8A-WT.T8A",0.00442189678187192,-0.00116877118193978,0.0100125647456836,0.217743874990544
"WT-WT.T8A",0.00499249034014081,-0.000598177623670891,0.0105831583039525,0.111587053845322
"TN-WT.T8A",0.982881123255425,0.977290455291613,0.988471791219237,0
"WT-T8A",0.000570593558268893,-0.00502007440554281,0.00616126152208059,0.999979219208484
"TN-T8A",0.978459226473553,0.972868558509741,0.984049894437365,0
"TN-WT",0.977888632915284,0.972297964951472,0.983479300879096,0
