"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"TP-T8A.N3A",617.142857141327,-2280408.8130944,2281643.09880868,1
"N3A-T8A.N3A",6737.14285714319,-2274288.81309439,2287763.09880868,1
"WT.N3A-T8A.N3A",10507.1428571441,-2270518.81309439,2291533.09880868,1
"WT.T8A-T8A.N3A",12684.2857142854,-2268341.67023725,2293710.24166582,1
"T8A-T8A.N3A",43585.7142857141,-2237440.24166582,2324611.67023725,0.999999999817831
"WT-T8A.N3A",112328.571428571,-2168697.38452297,2393354.52738011,0.999999864778567
"TN-T8A.N3A",17942111.4285714,15661085.4726199,20223137.384523,0
"N3A-TP",6120.00000000186,-2274905.95595154,2287145.95595154,1
"WT.N3A-TP",9890.00000000279,-2271135.95595154,2290915.95595154,1
"WT.T8A-TP",12067.1428571441,-2268958.81309439,2293093.09880868,1
"T8A-TP",42968.5714285728,-2238057.38452297,2323994.52738011,0.999999999835127
"WT-TP",111711.42857143,-2169314.52738011,2392737.38452297,0.999999869865137
"TN-TP",17941494.2857143,15660468.3297627,20222520.2416658,0
"WT.N3A-N3A",3770.00000000093,-2277255.95595154,2284795.95595154,1
"WT.T8A-N3A",5947.14285714226,-2275078.8130944,2286973.09880868,1
"T8A-N3A",36848.5714285709,-2244177.38452297,2317874.52738011,0.999999999943729
"WT-N3A",105591.428571428,-2175434.52738011,2386617.38452297,0.999999912089702
"TN-N3A",17935374.2857143,15654348.3297627,20216400.2416658,0
"WT.T8A-WT.N3A",2177.14285714133,-2278848.8130944,2283203.09880868,1
"T8A-WT.N3A",33078.57142857,-2247947.38452297,2314104.52738011,0.999999999973586
"WT-WT.N3A",101821.428571427,-2179204.52738011,2382847.38452296,0.999999931756775
"TN-WT.N3A",17931604.2857143,15650578.3297627,20212630.2416658,0
"T8A-WT.T8A",30901.4285714286,-2250124.52738011,2311927.38452297,0.999999999983622
"WT-WT.T8A",99644.2857142857,-2181381.67023725,2380670.24166582,0.999999941297253
"TN-WT.T8A",17929427.1428571,15648401.1869056,20210453.0988087,0
"WT-T8A",68742.857142857,-2212283.09880868,2349768.81309439,0.99999999559728
"TN-T8A",17898525.7142857,15617499.7583342,20179551.6702373,0
"TN-WT",17829782.8571429,15548756.9011913,20110808.8130944,0
