"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"TP-T8A.N3A",688.2,-177173.762614797,178550.162614797,1
"T8A-T8A.N3A",973.599999999948,-176888.362614797,178835.562614797,1
"WT-T8A.N3A",1141.20000000034,-176720.762614797,179003.162614798,1
"WT.N3A-T8A.N3A",1509.20000000013,-176352.762614797,179371.162614797,0.99999999999932
"WT.T8A-T8A.N3A",2477.59999999998,-175384.362614797,180339.562614797,0.999999999974721
"N3A-T8A.N3A",7184,-170677.962614797,185045.962614797,0.999999956947173
"TN-T8A.N3A",1218042.2,1040180.2373852,1395904.1626148,1.00253139123652e-13
"T8A-TP",285.399999999948,-177576.562614797,178147.362614797,1
"WT-TP",453.000000000343,-177408.962614797,178314.962614798,1
"WT.N3A-TP",821.000000000128,-177040.962614797,178682.962614797,1
"WT.T8A-TP",1789.39999999998,-176072.562614797,179651.362614797,0.999999999997479
"N3A-TP",6495.8,-171366.162614797,184357.762614797,0.999999978666184
"TN-TP",1217354,1039492.0373852,1395215.9626148,1.00253139123652e-13
"WT-T8A",167.600000000396,-177694.362614797,178029.562614798,1
"WT.N3A-T8A",535.60000000018,-177326.362614797,178397.562614797,1
"WT.T8A-T8A",1504.00000000003,-176357.962614797,179365.962614797,0.999999999999345
"N3A-T8A",6210.40000000005,-171651.562614797,184072.362614797,0.999999984406617
"TN-T8A",1217068.6,1039206.6373852,1394930.5626148,1.00253139123652e-13
"WT.N3A-WT",367.999999999785,-177493.962614797,178229.962614797,1
"WT.T8A-WT",1336.39999999963,-176525.562614798,179198.362614797,1
"N3A-WT",6042.79999999966,-171819.162614798,183904.762614797,0.999999987116515
"TN-WT",1216901,1039039.0373852,1394762.9626148,1.00253139123652e-13
"WT.T8A-WT.N3A",968.399999999849,-176893.562614797,178830.362614797,1
"N3A-WT.N3A",5674.79999999987,-172187.162614797,183536.762614797,0.999999991690587
"TN-WT.N3A",1216533,1038671.0373852,1394394.9626148,1.00253139123652e-13
"N3A-WT.T8A",4706.40000000002,-173155.562614797,182568.362614797,0.999999997750831
"TN-WT.T8A",1215564.6,1037702.6373852,1393426.5626148,1.00253139123652e-13
"TN-N3A",1210858.2,1032996.2373852,1388720.1626148,1.00253139123652e-13
