"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"TP-T8A.N3A",4039.80000000028,-1385351.90961683,1393431.50961683,1
"WT.N3A-T8A.N3A",9610.00000000093,-1379781.70961683,1399001.70961683,1
"T8A-T8A.N3A",9688.00000000016,-1379703.70961683,1399079.70961683,1
"WT.T8A-T8A.N3A",13834.0000000001,-1375557.70961683,1403225.70961683,0.999999999997655
"WT-T8A.N3A",15536.0000000025,-1373855.70961683,1404927.70961684,0.999999999994607
"N3A-T8A.N3A",38720.0000000007,-1350671.70961683,1428111.70961683,0.999999996769662
"TN-T8A.N3A",7176572.2,5787180.49038317,8565963.90961683,1.01030295240889e-13
"WT.N3A-TP",5570.20000000065,-1383821.50961683,1394961.90961683,1
"T8A-TP",5648.19999999988,-1383743.50961683,1395039.90961683,1
"WT.T8A-TP",9794.19999999984,-1379597.50961683,1399185.90961683,1
"WT-TP",11496.2000000022,-1377895.50961683,1400887.90961684,0.99999999999946
"N3A-TP",34680.2000000004,-1354711.50961683,1424071.90961683,0.999999998504141
"TN-TP",7172532.4,5783140.69038317,8561924.10961683,1.01030295240889e-13
"T8A-WT.N3A",77.9999999992324,-1389313.70961683,1389469.70961683,1
"WT.T8A-WT.N3A",4223.99999999919,-1385167.70961683,1393615.70961683,1
"WT-WT.N3A",5926.00000000158,-1383465.70961683,1395317.70961684,1
"N3A-WT.N3A",29109.9999999998,-1360281.70961683,1418501.70961683,0.99999999956011
"TN-WT.N3A",7166962.2,5777570.49038317,8556353.90961683,1.01030295240889e-13
"WT.T8A-T8A",4145.99999999995,-1385245.70961683,1393537.70961683,1
"WT-T8A",5848.00000000235,-1383543.70961683,1395239.70961684,1
"N3A-T8A",29032.0000000005,-1360359.70961683,1418423.70961683,0.99999999956829
"TN-T8A",7166884.2,5777492.49038317,8556275.90961683,1.01030295240889e-13
"WT-WT.T8A",1702.0000000024,-1387689.70961683,1391093.70961684,1
"N3A-WT.T8A",24886.0000000006,-1364505.70961683,1414277.70961683,0.999999999853048
"TN-WT.T8A",7162738.2,5773346.49038317,8552129.90961683,1.01030295240889e-13
"N3A-WT",23183.9999999982,-1366207.70961684,1412575.70961683,0.999999999910475
"TN-WT",7161036.2,5771644.49038316,8550427.90961683,1.01030295240889e-13
"TN-N3A",7137852.2,5748460.49038317,8527243.90961683,1.01141317543352e-13
