"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"TP-T8A.N3A",0.000167899851920492,-0.00304583655896889,0.00338163626280987,0.99999967440323
"WT.N3A-T8A.N3A",0.000563226252777611,-0.00265051015811177,0.00377696266366699,0.998825298741998
"N3A-T8A.N3A",0.000734130360145385,-0.002479606050744,0.00394786677103477,0.993898103141616
"WT-T8A.N3A",0.000925761520664918,-0.00228797489022446,0.0041394979315543,0.976750998590512
"WT.T8A-T8A.N3A",0.00107395259739169,-0.00213978381349769,0.00428768900828108,0.949044339007327
"T8A-T8A.N3A",0.00408581198734296,0.000872075576453578,0.00729954839823234,0.00635297129306722
"TN-T8A.N3A",0.992449217429757,0.989235481018868,0.995662953840647,2.09832151654155e-14
"WT.N3A-TP",0.00039532640085712,-0.00281841001003226,0.0036090628117465,0.999884870714227
"N3A-TP",0.000566230508224894,-0.00264750590266449,0.00377996691911427,0.998784658943824
"WT-TP",0.000757861668744426,-0.00245587474214495,0.00397159807963381,0.992619723478593
"WT.T8A-TP",0.000906052745471203,-0.00230768366541818,0.00411978915636058,0.979356413798897
"T8A-TP",0.00391791213542247,0.000704175724533087,0.00713164854631185,0.00959086132256404
"TN-TP",0.992281317577837,0.989067581166947,0.995495053988726,2.09832151654155e-14
"N3A-WT.N3A",0.000170904107367774,-0.00304283230352161,0.00338464051825715,0.999999631739394
"WT-WT.N3A",0.000362535267887307,-0.00285120114300207,0.00357627167877669,0.99993565746438
"WT.T8A-WT.N3A",0.000510726344614083,-0.0027030100662753,0.00372446275550346,0.999375018224959
"T8A-WT.N3A",0.00352258573456535,0.000308849323675967,0.00673632214545473,0.024693917585468
"TN-WT.N3A",0.99188599117698,0.98867225476609,0.995099727587869,2.09832151654155e-14
"WT-N3A",0.000191631160519533,-0.00302210525036985,0.00340536757140891,0.999999185476521
"WT.T8A-N3A",0.000339822237246309,-0.00287391417364307,0.00355355864813569,0.999958446854858
"T8A-N3A",0.00335168162719757,0.000137945216308193,0.00656541803808695,0.0366472373927194
"TN-N3A",0.991715087069612,0.988501350658723,0.994928823480501,2.09832151654155e-14
"WT.T8A-WT",0.000148191076726777,-0.0030655453341626,0.00336192748761616,0.99999986329712
"T8A-WT",0.00316005046667804,-5.36859442113397e-05,0.00637378687756742,0.0563040462523197
"TN-WT",0.991523455909093,0.988309719498203,0.994737192319982,2.09832151654155e-14
"T8A-WT.T8A",0.00301185938995126,-0.000201877020938116,0.00622559580084065,0.0775945428490834
"TN-WT.T8A",0.991375264832366,0.988161528421476,0.994589001243255,2.09832151654155e-14
"TN-T8A",0.988363405442414,0.985149669031525,0.991577141853304,2.09832151654155e-14
