"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"T8A.N3A-WT.N3A",472.249999999985,-125255.210892831,126199.710892831,1
"WT-WT.N3A",498.374999999975,-125229.085892831,126225.835892831,1
"TP-WT.N3A",603.374999999985,-125124.085892831,126330.835892831,1
"N3A-WT.N3A",1048.5,-124678.960892831,126775.960892831,0.999999999999613
"WT.T8A-WT.N3A",28015,-97712.4608928311,153742.460892831,0.996624695328491
"T8A-WT.N3A",44727.5,-80999.9608928311,170454.960892831,0.949668277431542
"TN-WT.N3A",286310,160582.539107169,412037.460892831,4.99410506282771e-08
"WT-T8A.N3A",26.1249999999891,-125701.335892831,125753.585892831,1
"TP-T8A.N3A",131.125,-125596.335892831,125858.585892831,1
"N3A-T8A.N3A",576.250000000015,-125151.210892831,126303.710892831,1
"WT.T8A-T8A.N3A",27542.75,-98184.710892831,153270.210892831,0.996964643471593
"T8A-T8A.N3A",44255.25,-81472.210892831,169982.710892831,0.952372042712923
"TN-T8A.N3A",285837.75,160110.289107169,411565.210892831,5.22330891872258e-08
"TP-WT",105.000000000011,-125622.460892831,125832.460892831,1
"N3A-WT",550.125000000025,-125177.335892831,126277.585892831,1
"WT.T8A-WT",27516.625,-98210.835892831,153244.085892831,0.996982613436742
"T8A-WT",44229.125,-81498.335892831,169956.585892831,0.952518612450746
"TN-WT",285811.625,160084.164107169,411539.085892831,5.23629105630974e-08
"N3A-TP",445.125000000015,-125282.335892831,126172.585892831,1
"WT.T8A-TP",27411.625,-98315.835892831,153139.085892831,0.997053976399287
"T8A-TP",44124.125,-81603.335892831,169851.585892831,0.953104540706598
"TN-TP",285706.625,159979.164107169,411434.085892831,5.28879391392678e-08
"WT.T8A-N3A",26966.5,-98760.9608928311,152693.960892831,0.99734158233875
"T8A-N3A",43679,-82048.4608928311,169406.460892831,0.955532679463111
"TN-N3A",285261.5,159534.039107169,410988.960892831,5.51727351583153e-08
"T8A-WT.T8A",16712.5,-109014.960892831,142439.960892831,0.99988331048423
"TN-WT.T8A",258295,132567.539107169,384022.460892831,7.10009826265789e-07
"TN-T8A",241582.5,115855.039107169,367309.960892831,3.40581946511875e-06
