"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"N3A-T8A.N3A",2.3283064365387e-10,-1314324.57276682,1314324.57276683,1
"WT.N3A-T8A.N3A",2.3283064365387e-10,-1314324.57276682,1314324.57276683,1
"TP-T8A.N3A",3.49245965480804e-10,-1314324.57276682,1314324.57276683,1
"WT-T8A.N3A",37120.0000000015,-1277204.57276682,1351444.57276683,0.999999996454105
"WT.T8A-T8A.N3A",359600.000000001,-954724.572766824,1673924.57276683,0.985279718479674
"T8A-T8A.N3A",630000,-684324.572766825,1944324.57276683,0.773478511854884
"TN-T8A.N3A",5109280,3794955.42723318,6423604.57276683,1.77491354946824e-12
"WT.N3A-N3A",0,-1314324.57276683,1314324.57276683,1
"TP-N3A",1.16415321826935e-10,-1314324.57276683,1314324.57276683,1
"WT-N3A",37120.0000000013,-1277204.57276682,1351444.57276683,0.999999996454105
"WT.T8A-N3A",359600.000000001,-954724.572766825,1673924.57276683,0.985279718479674
"T8A-N3A",630000,-684324.572766825,1944324.57276682,0.773478511854884
"TN-N3A",5109280,3794955.42723318,6423604.57276683,1.77491354946824e-12
"TP-WT.N3A",1.16415321826935e-10,-1314324.57276683,1314324.57276683,1
"WT-WT.N3A",37120.0000000013,-1277204.57276682,1351444.57276683,0.999999996454105
"WT.T8A-WT.N3A",359600.000000001,-954724.572766825,1673924.57276683,0.985279718479674
"T8A-WT.N3A",630000,-684324.572766825,1944324.57276682,0.773478511854884
"TN-WT.N3A",5109280,3794955.42723318,6423604.57276683,1.77491354946824e-12
"WT-TP",37120.0000000012,-1277204.57276682,1351444.57276683,0.999999996454105
"WT.T8A-TP",359600,-954724.572766825,1673924.57276683,0.985279718479674
"T8A-TP",630000,-684324.572766825,1944324.57276682,0.773478511854884
"TN-TP",5109280,3794955.42723318,6423604.57276683,1.77491354946824e-12
"WT.T8A-WT",322479.999999999,-991844.572766826,1636804.57276682,0.992219894724885
"T8A-WT",592879.999999998,-721444.572766827,1907204.57276682,0.821492541484185
"TN-WT",5072160,3757835.42723317,6386484.57276683,2.13273843030493e-12
"T8A-WT.T8A",270399.999999999,-1043924.57276683,1584724.57276682,0.997350729208739
"TN-WT.T8A",4749680,3435355.42723317,6064004.57276683,1.15573106640454e-11
"TN-T8A",4479280,3164955.42723318,5793604.57276683,5.20457010821929e-11
