"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"T8A.N3A-TP",5.12227416038513e-10,-2762763.76075554,2762763.76075554,1
"WT.N3A-TP",11600.0000000028,-2751163.76075554,2774363.76075554,1
"N3A-TP",37140.0000000026,-2725623.76075554,2799903.76075554,0.999999999980298
"WT-TP",49220.0000000041,-2713543.76075554,2811983.76075554,0.999999999858466
"WT.T8A-TP",541800.000000001,-2220963.76075554,3304563.76075554,0.998039783078256
"T8A-TP",786600.000000002,-1976163.76075554,3549363.76075554,0.98153755707745
"TN-TP",13893640,11130876.2392445,16656403.7607555,1.02140518265514e-13
"WT.N3A-T8A.N3A",11600.0000000023,-2751163.76075554,2774363.76075554,1
"N3A-T8A.N3A",37140.0000000021,-2725623.76075554,2799903.76075554,0.999999999980298
"WT-T8A.N3A",49220.0000000036,-2713543.76075554,2811983.76075554,0.999999999858466
"WT.T8A-T8A.N3A",541800.000000001,-2220963.76075554,3304563.76075554,0.998039783078256
"T8A-T8A.N3A",786600.000000002,-1976163.76075554,3549363.76075554,0.98153755707745
"TN-T8A.N3A",13893640,11130876.2392445,16656403.7607555,1.02140518265514e-13
"N3A-WT.N3A",25539.9999999998,-2737223.76075554,2788303.76075554,0.999999999998652
"WT-WT.N3A",37620.0000000013,-2725143.76075554,2800383.76075554,0.999999999978438
"WT.T8A-WT.N3A",530199.999999998,-2232563.76075554,3292963.76075554,0.998290841010988
"T8A-WT.N3A",774999.999999999,-1987763.76075554,3537763.76075554,0.983026321915611
"TN-WT.N3A",13882040,11119276.2392445,16644803.7607555,1.02140518265514e-13
"WT-N3A",12080.0000000015,-2750683.76075554,2774843.76075554,1
"WT.T8A-N3A",504659.999999999,-2258103.76075554,3267423.76075554,0.998752401304372
"T8A-N3A",749460,-2013303.76075554,3512223.76075554,0.985985122614787
"TN-N3A",13856500,11093736.2392445,16619263.7607555,1.02251540567977e-13
"WT.T8A-WT",492579.999999997,-2270183.76075554,3255343.76075554,0.998932081323421
"T8A-WT",737379.999999998,-2025383.76075554,3500143.76075554,0.987239997051949
"TN-WT",13844420,11081656.2392445,16607183.7607555,1.02251540567977e-13
"T8A-WT.T8A",244800.000000001,-2517963.76075554,3007563.76075554,0.999990062754674
"TN-WT.T8A",13351840,10589076.2392445,16114603.7607555,1.04916075827077e-13
"TN-T8A",13107040,10344276.2392445,15869803.7607555,1.0769163338864e-13
