"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"WT-WT.N3A",0.000401583710407213,-0.195501687797843,0.196304855218658,1
"TP-WT.N3A",0.00375856519424423,-0.192144706314006,0.199661836702495,0.999999999762341
"WT.T8A-WT.N3A",0.0155122775572339,-0.180390993951017,0.211415549065485,0.99999541043229
"T8A.N3A-WT.N3A",0.0586691737482505,-0.13723409776,0.254572445256501,0.975522585947053
"N3A-WT.N3A",0.0992523394585011,-0.0966509320497496,0.295155610966752,0.722734924828943
"T8A-WT.N3A",0.151452182384212,-0.0444510891240386,0.347355453892463,0.229872828973203
"TN-WT.N3A",0.669370167539911,0.47346689603166,0.865273439048161,4.87411222493961e-11
"TP-WT",0.00335698148383702,-0.192546290024414,0.199260252992088,0.999999999892182
"WT.T8A-WT",0.0151106938468267,-0.180792577661424,0.211013965355077,0.999996168925412
"T8A.N3A-WT",0.0582675900378433,-0.137635681470407,0.254170861546094,0.976433530578719
"N3A-WT",0.0988507557480939,-0.0970525157601568,0.294754027256345,0.726667621868242
"T8A-WT",0.151050598673805,-0.0448526728344458,0.346953870182056,0.232608283609729
"TN-WT",0.668968583829504,0.473065312321253,0.864871855337754,4.94917440363452e-11
"WT.T8A-TP",0.0117537123629897,-0.184149559145261,0.20765698387124,0.999999325456553
"T8A.N3A-TP",0.0549106085540062,-0.140992662954244,0.250813880062257,0.983102350028807
"N3A-TP",0.0954937742642569,-0.100409497243994,0.291397045772508,0.758784296882107
"T8A-TP",0.147693617189968,-0.0482096543182829,0.343596888698218,0.256374612998072
"TN-TP",0.665611602345667,0.469708330837416,0.861514873853917,5.62507818102631e-11
"T8A.N3A-WT.T8A",0.0431568961910166,-0.152746375317234,0.239060167699267,0.995950433079999
"N3A-WT.T8A",0.0837400619012672,-0.112163209606983,0.279643333409518,0.857448743886746
"T8A-WT.T8A",0.135939904826978,-0.0599633666812725,0.331843176335229,0.351980116487077
"TN-WT.T8A",0.653857889982677,0.457954618474426,0.849761161490928,8.83411122032385e-11
"N3A-T8A.N3A",0.0405831657102506,-0.155320105798,0.236486437218501,0.997233855137628
"T8A-T8A.N3A",0.0927830086359616,-0.103120262872289,0.288686280144212,0.783600488374125
"TN-T8A.N3A",0.61070099379166,0.41479772228341,0.806604265299911,4.8318715695217e-10
"T8A-N3A",0.0521998429257109,-0.14370342858254,0.248103114433962,0.987361963780683
"TN-N3A",0.57011782808141,0.374214556573159,0.76602109958966,2.53624943269415e-09
"TN-T8A",0.517917985155699,0.322014713647448,0.713821256663949,2.33025867490966e-08
