"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"T8A.N3A-TP",1.36002320516582e-16,-0.0422168107891761,0.0422168107891764,1
"WT.N3A-TP",1.9151347174784e-16,-0.042216810789176,0.0422168107891764,1
"N3A-TP",0.000304748234943791,-0.0419120625542324,0.04252155902412,1
"WT-TP",0.00155783106487796,-0.0406589797242983,0.0437746418540542,0.999999977072662
"WT.T8A-TP",0.00616258067684878,-0.0360542301123275,0.048379391466025,0.999710600553913
"T8A-TP",0.0594993425891527,0.0172825317999764,0.101716153378329,0.00160942790140473
"TN-TP",0.932475497434177,0.890258686645001,0.974692308223354,1.00253139123652e-13
"WT.N3A-T8A.N3A",5.55111512312578e-17,-0.0422168107891762,0.0422168107891763,1
"N3A-T8A.N3A",0.000304748234943655,-0.0419120625542326,0.0425215590241199,1
"WT-T8A.N3A",0.00155783106487783,-0.0406589797242984,0.0437746418540541,0.999999977072662
"WT.T8A-T8A.N3A",0.00616258067684865,-0.0360542301123276,0.0483793914660249,0.999710600553913
"T8A-T8A.N3A",0.0594993425891525,0.0172825317999763,0.101716153378329,0.00160942790140495
"TN-T8A.N3A",0.932475497434177,0.890258686645001,0.974692308223354,1.00253139123652e-13
"N3A-WT.N3A",0.0003047482349436,-0.0419120625542326,0.0425215590241198,1
"WT-WT.N3A",0.00155783106487777,-0.0406589797242985,0.043774641854054,0.999999977072662
"WT.T8A-WT.N3A",0.00616258067684859,-0.0360542301123276,0.0483793914660248,0.999710600553914
"T8A-WT.N3A",0.0594993425891525,0.0172825317999762,0.101716153378329,0.00160942790140495
"TN-WT.N3A",0.932475497434177,0.890258686645001,0.974692308223354,1.00253139123652e-13
"WT-N3A",0.00125308282993417,-0.0409637279592421,0.0434698936191104,0.999999994982214
"WT.T8A-N3A",0.00585783244190499,-0.0363589783472712,0.0480746432310812,0.999793263637571
"T8A-N3A",0.0591945943542089,0.0169777835650326,0.101411405143385,0.00171716907289499
"TN-N3A",0.932170749199234,0.889953938410057,0.97438755998841,1.00253139123652e-13
"WT.T8A-WT",0.00460474961197082,-0.0376120611772054,0.0468215604011471,0.999958991899726
"T8A-WT",0.0579415115242747,0.0157247007350985,0.100158322313451,0.00223917494219628
"TN-WT",0.9309176663693,0.888700855580123,0.973134477158476,1.00253139123652e-13
"T8A-WT.T8A",0.0533367619123039,0.0111199511231276,0.0955535727014801,0.00584031995589929
"TN-WT.T8A",0.926312916757329,0.884096105968152,0.968529727546505,1.00253139123652e-13
"TN-T8A",0.872976154845025,0.830759344055849,0.915192965634201,1.00253139123652e-13
