"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"WT.N3A-T8A.N3A",9.31322574615479e-10,-3018511.10438979,3018511.1043898,1
"TP-T8A.N3A",1.67638063430786e-09,-3018511.10438979,3018511.1043898,1
"N3A-T8A.N3A",5090.00000000233,-3013421.10438979,3023601.1043898,1
"WT-T8A.N3A",21300.0000000011,-2997211.10438979,3039811.1043898,1
"WT.T8A-T8A.N3A",96840.0000000007,-2921671.1043898,3115351.1043898,0.999999991364522
"T8A-T8A.N3A",879400.000000002,-2139111.10438979,3897911.1043898,0.978994977278896
"TN-T8A.N3A",13977370,10958858.8956102,16995881.1043898,1.15574216863479e-13
"TP-WT.N3A",7.45058059692383e-10,-3018511.10438979,3018511.1043898,1
"N3A-WT.N3A",5090.0000000014,-3013421.10438979,3023601.1043898,1
"WT-WT.N3A",21300.0000000001,-2997211.1043898,3039811.1043898,1
"WT.T8A-WT.N3A",96839.9999999998,-2921671.1043898,3115351.1043898,0.999999991364522
"T8A-WT.N3A",879400.000000001,-2139111.10438979,3897911.1043898,0.978994977278896
"TN-WT.N3A",13977370,10958858.8956102,16995881.1043898,1.15574216863479e-13
"N3A-TP",5090.00000000065,-3013421.1043898,3023601.1043898,1
"WT-TP",21299.9999999994,-2997211.1043898,3039811.1043898,1
"WT.T8A-TP",96839.999999999,-2921671.1043898,3115351.10438979,0.999999991364522
"T8A-TP",879400,-2139111.1043898,3897911.1043898,0.978994977278896
"TN-TP",13977370,10958858.8956102,16995881.1043898,1.15574216863479e-13
"WT-N3A",16209.9999999987,-3002301.1043898,3034721.10438979,1
"WT.T8A-N3A",91749.9999999984,-2926761.1043898,3110261.10438979,0.999999994076596
"T8A-N3A",874310,-2144201.1043898,3892821.1043898,0.979665782152902
"TN-N3A",13972280,10953768.8956102,16990791.1043898,1.15685239165941e-13
"WT.T8A-WT",75539.9999999996,-2942971.1043898,3094051.1043898,0.999999998476759
"T8A-WT",858100.000000001,-2160411.10438979,3876611.1043898,0.981696410696058
"TN-WT",13956070,10937558.8956102,16974581.1043898,1.16240350678254e-13
"T8A-WT.T8A",782560.000000001,-2235951.10438979,3801071.1043898,0.989226439807144
"TN-WT.T8A",13880530,10862018.8956102,16899041.1043898,1.18793863634892e-13
"TN-T8A",13097970,10079458.8956102,16116481.1043898,1.87738713464114e-13
