"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"WT.N3A-T8A.N3A",468.750000000175,-3929532.56205605,3930470.06205605,1
"N3A-T8A.N3A",6335.24999999953,-3923666.06205605,3936336.56205605,1
"TP-T8A.N3A",10977.0000000014,-3919024.31205605,3940978.31205605,1
"WT-T8A.N3A",58940.750000003,-3871060.56205605,3988942.06205605,0.999999999946354
"T8A-T8A.N3A",799640.75,-3130360.56205605,4729642.06205605,0.996990392522956
"WT.T8A-T8A.N3A",1389390.75,-2540610.56205605,5319392.06205605,0.932606516099066
"TN-T8A.N3A",11973372.75,8043371.43794395,15903374.0620561,1.06805342348082e-08
"N3A-WT.N3A",5866.49999999936,-3924134.81205605,3935867.81205605,1
"TP-WT.N3A",10508.2500000012,-3919493.06205605,3940509.56205605,1
"WT-WT.N3A",58472.0000000029,-3871529.31205605,3988473.31205605,0.999999999949274
"T8A-WT.N3A",799172,-3130829.31205605,4729173.31205605,0.997001314681636
"WT.T8A-WT.N3A",1388922,-2541079.31205605,5318923.31205605,0.932717156488378
"TN-WT.N3A",11972904,8042902.68794395,15902905.3120561,1.06886979267529e-08
"TP-N3A",4641.75000000186,-3925359.56205605,3934643.06205605,1
"WT-N3A",52605.5000000035,-3877395.81205605,3982606.81205605,0.99999999997581
"T8A-N3A",793305.5,-3136695.81205605,4723306.81205605,0.997135345856982
"WT.T8A-N3A",1383055.5,-2546945.81205605,5313056.81205605,0.934091903921692
"TN-N3A",11967037.5,8037036.18794395,15897038.8120561,1.07914128744113e-08
"WT-TP",47963.7500000016,-3882037.56205605,3977965.06205605,0.999999999987357
"T8A-TP",788663.749999998,-3141337.56205605,4718665.06205605,0.997237958848541
"WT.T8A-TP",1378413.75,-2551587.56205605,5308415.06205605,0.935166622162949
"TN-TP",11962395.75,8032394.43794395,15892397.0620561,1.0873406175449e-08
"T8A-WT",740699.999999997,-3189301.31205605,4670701.31205605,0.998135659135532
"WT.T8A-WT",1330450,-2599551.31205605,5260451.31205605,0.945604987934599
"TN-WT",11914432,7984430.68794395,15844433.312056,1.1759271334455e-08
"WT.T8A-T8A",589750.000000001,-3340251.31205605,4519751.31205605,0.999570111435952
"TN-T8A",11173732,7243730.68794395,15103733.3120561,4.04273201581873e-08
"TN-WT.T8A",10583982,6653980.68794395,14513983.3120561,1.11858825313504e-07
