"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"T8A.N3A-N3A",1.16415321826935e-10,-1570165.97351533,1570165.97351533,1
"WT.N3A-N3A",334.999999999651,-1569830.97351533,1570500.97351533,1
"TP-N3A",742.500000000466,-1569423.47351533,1570908.47351533,1
"WT-N3A",56175.0000000005,-1513990.97351533,1626340.97351533,0.999999976661978
"T8A-N3A",224500,-1345665.97351533,1794665.97351533,0.99968716285744
"WT.T8A-N3A",806250,-763915.973515333,2376415.97351533,0.68687310066181
"TN-N3A",3584497.5,2014331.52648467,5154663.47351533,2.11879950373639e-06
"WT.N3A-T8A.N3A",334.999999999534,-1569830.97351533,1570500.97351533,1
"TP-T8A.N3A",742.500000000349,-1569423.47351533,1570908.47351533,1
"WT-T8A.N3A",56175.0000000003,-1513990.97351533,1626340.97351533,0.999999976661978
"T8A-T8A.N3A",224500,-1345665.97351533,1794665.97351533,0.99968716285744
"WT.T8A-T8A.N3A",806250,-763915.973515333,2376415.97351533,0.68687310066181
"TN-T8A.N3A",3584497.5,2014331.52648467,5154663.47351533,2.11879950373639e-06
"TP-WT.N3A",407.500000000815,-1569758.47351533,1570573.47351533,1
"WT-WT.N3A",55840.0000000008,-1514325.97351533,1626005.97351533,0.999999977615444
"T8A-WT.N3A",224165,-1346000.97351533,1794330.97351533,0.999690227352727
"WT.T8A-WT.N3A",805915,-764250.973515333,2376080.97351533,0.687298473795619
"TN-WT.N3A",3584162.5,2013996.52648467,5154328.47351533,2.12217079698096e-06
"WT-TP",55432.5,-1514733.47351533,1625598.47351533,0.99999997873016
"T8A-TP",223757.499999999,-1346408.47351533,1793923.47351533,0.999693921423615
"WT.T8A-TP",805507.5,-764658.473515333,2375673.47351533,0.687815724605888
"TN-TP",3583755,2013589.02648467,5153920.97351533,2.12627910578522e-06
"T8A-WT",168324.999999999,-1401840.97351533,1738490.97351533,0.999954400082733
"WT.T8A-WT",750075,-820090.973515333,2320240.97351533,0.755870248123724
"TN-WT",3528322.5,1958156.52648467,5098488.47351533,2.76848399582974e-06
"WT.T8A-T8A",581750,-988415.973515333,2151915.97351533,0.915659435012552
"TN-T8A",3359997.5,1789831.52648467,4930163.47351533,6.23238808716842e-06
"TN-WT.T8A",2778247.5,1208081.52648467,4348413.47351533,0.000114134889000361
