"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"T8A.N3A-N3A",0,-0.00486468766851141,0.00486468766851141,1
"TP-N3A",5.55111512312578e-17,-0.00486468766851135,0.00486468766851146,1
"WT.T8A-N3A",0.000350000000000003,-0.0045146876685114,0.00521468766851141,0.999997017472134
"T8A-N3A",0.00044973544973529,-0.00441495221877612,0.0053144231182467,0.999983333034457
"WT.N3A-N3A",0.00154937313089487,-0.00331531453761653,0.00641406079940628,0.960189386878028
"WT-N3A",0.0134985734516885,0.0086338857831771,0.0183632611201999,6.40347173064271e-08
"TN-N3A",0.984152317967681,0.97928763029917,0.989017005636193,2.09832151654155e-14
"TP-T8A.N3A",5.55111512312578e-17,-0.00486468766851135,0.00486468766851146,1
"WT.T8A-T8A.N3A",0.000350000000000003,-0.0045146876685114,0.00521468766851141,0.999997017472134
"T8A-T8A.N3A",0.00044973544973529,-0.00441495221877612,0.0053144231182467,0.999983333034457
"WT.N3A-T8A.N3A",0.00154937313089487,-0.00331531453761653,0.00641406079940628,0.960189386878028
"WT-T8A.N3A",0.0134985734516885,0.0086338857831771,0.0183632611201999,6.40347173064271e-08
"TN-T8A.N3A",0.984152317967681,0.97928763029917,0.989017005636193,2.09832151654155e-14
"WT.T8A-TP",0.000349999999999948,-0.00451468766851146,0.00521468766851135,0.999997017472134
"T8A-TP",0.000449735449735235,-0.00441495221877617,0.00531442311824664,0.999983333034457
"WT.N3A-TP",0.00154937313089482,-0.00331531453761659,0.00641406079940622,0.960189386878035
"WT-TP",0.0134985734516885,0.00863388578317705,0.0183632611201999,6.40347173064271e-08
"TN-TP",0.984152317967681,0.97928763029917,0.989017005636193,2.09832151654155e-14
"T8A-WT.T8A",9.97354497352873e-05,-0.00476495221877612,0.00496442311824669,0.999999999522165
"WT.N3A-WT.T8A",0.00119937313089487,-0.00366531453761654,0.00606406079940627,0.990402582007457
"WT-WT.T8A",0.0131485734516885,0.0082838857831771,0.0180132611201999,1.04612659646008e-07
"TN-WT.T8A",0.983802317967681,0.97893763029917,0.988667005636193,2.09832151654155e-14
"WT.N3A-T8A",0.00109963768115958,-0.00376504998735182,0.00596432534967099,0.99427238793055
"WT-T8A",0.0130488380019532,0.00818415033344181,0.0179135256704646,1.20474854758967e-07
"TN-T8A",0.983702582517946,0.978837894849435,0.988567270186458,2.09832151654155e-14
"WT-WT.N3A",0.0119492003207936,0.00708451265228223,0.016813887989305,5.93886681610201e-07
"TN-WT.N3A",0.982602944836786,0.977738257168275,0.987467632505298,2.09832151654155e-14
"TN-WT",0.970653744515993,0.965789056847481,0.975518432184504,2.09832151654155e-14
