"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"N3A-T8A.N3A",3.63797880709171e-12,-84595.4931178495,84595.4931178495,1
"TP-T8A.N3A",4.36557456851006e-11,-84595.4931178495,84595.4931178496,1
"T8A-T8A.N3A",85.0000000000346,-84510.4931178495,84680.4931178496,1
"WT.T8A-T8A.N3A",120.750000000022,-84474.7431178495,84716.2431178495,1
"WT.N3A-T8A.N3A",422.750000000006,-84172.7431178495,85018.2431178495,1
"WT-T8A.N3A",2900.00000000003,-81695.4931178495,87495.4931178496,0.999999982673696
"TN-T8A.N3A",211921.5,127326.00688215,296516.99311785,4.18329483165003e-07
"TP-N3A",4.00177668780088e-11,-84595.4931178495,84595.4931178496,1
"T8A-N3A",85.0000000000309,-84510.4931178495,84680.4931178496,1
"WT.T8A-N3A",120.750000000018,-84474.7431178495,84716.2431178495,1
"WT.N3A-N3A",422.750000000003,-84172.7431178495,85018.2431178495,1
"WT-N3A",2900.00000000003,-81695.4931178495,87495.4931178496,0.999999982673696
"TN-N3A",211921.5,127326.00688215,296516.99311785,4.18329483165003e-07
"T8A-TP",84.9999999999909,-84510.4931178495,84680.4931178495,1
"WT.T8A-TP",120.749999999978,-84474.7431178495,84716.2431178495,1
"WT.N3A-TP",422.749999999963,-84172.7431178496,85018.2431178495,1
"WT-TP",2899.99999999999,-81695.4931178495,87495.4931178495,0.999999982673696
"TN-TP",211921.5,127326.00688215,296516.99311785,4.18329483165003e-07
"WT.T8A-T8A",35.7499999999873,-84559.7431178495,84631.2431178495,1
"WT.N3A-T8A",337.749999999972,-84257.7431178496,84933.2431178495,1
"WT-T8A",2815,-81780.4931178495,87410.4931178495,0.999999985920972
"TN-T8A",211836.5,127241.00688215,296431.99311785,4.21344499956788e-07
"WT.N3A-WT.T8A",301.999999999985,-84293.4931178495,84897.4931178495,1
"WT-WT.T8A",2779.25000000001,-81816.2431178495,87374.7431178495,0.999999987122183
"TN-WT.T8A",211800.75,127205.25688215,296396.24311785,4.22619241380318e-07
"WT-WT.N3A",2477.25000000002,-82118.2431178495,87072.7431178496,0.999999994230593
"TN-WT.N3A",211498.75,126903.25688215,296094.24311785,4.33547034273118e-07
"TN-WT",209021.5,124426.00688215,293616.99311785,5.34897795834155e-07
