"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"TP-T8A.N3A",1.94289029309402e-16,-0.0222209352039452,0.0222209352039456,1
"WT.T8A-T8A.N3A",0.000701704545454651,-0.0215192306584907,0.0229226397494,0.999999990230079
"T8A-T8A.N3A",0.000781910924441492,-0.0214390242795039,0.0230028461283869,0.999999979211031
"N3A-T8A.N3A",0.00104818740018306,-0.0211727478037623,0.0232691226041285,0.999999839900677
"WT.N3A-T8A.N3A",0.00372026373017235,-0.018500671473773,0.0259411989341177,0.999124246546594
"WT-T8A.N3A",0.0287039998526975,0.00648306464875209,0.0509249350566429,0.00540268876914385
"TN-T8A.N3A",0.965043933547052,0.942822998343106,0.987264868750997,2.09832151654155e-14
"WT.T8A-TP",0.000701704545454457,-0.0215192306584909,0.0229226397493999,0.999999990230079
"T8A-TP",0.000781910924441298,-0.0214390242795041,0.0230028461283867,0.999999979211031
"N3A-TP",0.00104818740018287,-0.0211727478037625,0.0232691226041283,0.999999839900677
"WT.N3A-TP",0.00372026373017216,-0.0185006714737732,0.0259411989341176,0.999124246546594
"WT-TP",0.0287039998526973,0.00648306464875189,0.0509249350566427,0.00540268876914418
"TN-TP",0.965043933547052,0.942822998343106,0.987264868750997,2.09832151654155e-14
"T8A-WT.T8A",8.02063789868412e-05,-0.0221407288249586,0.0223011415829322,1
"N3A-WT.T8A",0.000346482854728408,-0.021874452349217,0.0225674180586738,0.999999999929563
"WT.N3A-WT.T8A",0.0030185591847177,-0.0192023760192277,0.0252394943886631,0.999776986646753
"WT-WT.T8A",0.0280022953072428,0.00578136010329744,0.0502232305111882,0.00694126110618998
"TN-WT.T8A",0.964342229001597,0.942121293797652,0.986563164205542,2.09832151654155e-14
"N3A-T8A",0.000266276475741567,-0.0219546587282038,0.022487211679687,0.99999999998888
"WT.N3A-T8A",0.00293835280573086,-0.0192825823982145,0.0251592880096763,0.999813501244311
"WT-T8A",0.027922088928256,0.00570115372431059,0.0501430241322014,0.0071422331175216
"TN-T8A",0.96426202262261,0.942041087418665,0.986482957826556,2.09832151654155e-14
"WT.N3A-N3A",0.00267207632998929,-0.0195488588739561,0.0248930115339347,0.999901118811773
"WT-N3A",0.0276558124525144,0.00543487724856903,0.0498767476564598,0.00785085261157337
"TN-N3A",0.963995746146869,0.941774810942923,0.986216681350814,2.09832151654155e-14
"WT-WT.N3A",0.0249837361225251,0.00276280091857974,0.0472046713264705,0.0199481360626343
"TN-WT.N3A",0.961323669816879,0.939102734612934,0.983544605020825,2.09832151654155e-14
"TN-WT",0.936339933694354,0.914118998490409,0.9585608688983,2.09832151654155e-14
