"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"TP-T8A.N3A",5.99593495936718e-05,-0.0134575264277023,0.0135774451268897,1
"N3A-T8A.N3A",0.000169078519019594,-0.0133484072582764,0.0136865642963156,0.999999999991698
"WT.N3A-T8A.N3A",0.000635272340098456,-0.0128822134371975,0.0141527581173945,0.99999991329676
"T8A-T8A.N3A",0.000735596707819017,-0.012781889069477,0.014253082485115,0.999999759450489
"WT.T8A-T8A.N3A",0.00715952064206196,-0.00635796513523404,0.020677006419358,0.712503033383956
"WT-T8A.N3A",0.014973648829263,0.00145616305196701,0.028491134606559,0.0198098018023252
"TN-T8A.N3A",0.976266923612146,0.962749437834849,0.989784409389442,9.53959133909166e-12
"N3A-TP",0.000109119169425922,-0.0134083666078701,0.0136266049467219,0.999999999999758
"WT.N3A-TP",0.000575312990504784,-0.0129421727867912,0.0140927987678008,0.999999956547732
"T8A-TP",0.000675637358225345,-0.0128418484190707,0.0141931231355213,0.999999866858114
"WT.T8A-TP",0.00709956129246829,-0.00641792448482771,0.0206170470697643,0.721054975862092
"WT-TP",0.0149136894796693,0.00139620370237334,0.0284311752569653,0.0206160320149474
"TN-TP",0.976206964262552,0.962689478485256,0.989724450039848,9.53959133909166e-12
"WT.N3A-N3A",0.000466193821078861,-0.0130512919562171,0.0139836795983749,0.999999989981782
"T8A-N3A",0.000566518188799423,-0.0129509675884966,0.0140840039660954,0.999999960972621
"WT.T8A-N3A",0.00699044212304237,-0.00652704365425364,0.0205079279003384,0.736392391430809
"WT-N3A",0.0148045703102434,0.00128708453294742,0.0283220560875394,0.022160178111342
"TN-N3A",0.976097845093126,0.96258035931583,0.989615330870422,9.53959133909166e-12
"T8A-WT.N3A",0.000100324367720561,-0.0134171614095754,0.0136178101450166,1
"WT.T8A-WT.N3A",0.00652424830196351,-0.0069932374753325,0.0200417340792595,0.798030809583607
"WT-WT.N3A",0.0143383764891646,0.000820890711868557,0.0278558622664606,0.0300045716880548
"TN-WT.N3A",0.975631651272047,0.962114165494751,0.989149137049343,9.53959133909166e-12
"WT.T8A-T8A",0.00642392393424294,-0.00709356184305306,0.0199414097115389,0.810347805552281
"WT-T8A",0.014238052121444,0.000720566344147995,0.02775553789874,0.0319881246169572
"TN-T8A",0.975531326904327,0.96201384112703,0.989048812681623,9.53959133909166e-12
"WT-WT.T8A",0.00781412818720105,-0.00570335759009495,0.0213316139644971,0.614900103190414
"TN-WT.T8A",0.969107402970084,0.955589917192788,0.98262488874738,9.53959133909166e-12
"TN-WT",0.961293274782883,0.947775789005586,0.974810760560179,9.53959133909166e-12
