"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"TP-T8A.N3A",186.666666666511,-4642572.43590232,4642945.76923565,1
"N3A-T8A.N3A",698.222222223179,-4642060.88034676,4643457.32479121,1
"T8A-T8A.N3A",2113.55555555644,-4640645.54701343,4644872.65812454,1
"WT.N3A-T8A.N3A",4053.55555555644,-4638705.54701343,4646812.65812454,1
"WT.T8A-T8A.N3A",26161.5555555564,-4616597.54701343,4668920.65812454,1
"WT-T8A.N3A",76996.6666666658,-4565762.43590232,4719755.76923565,0.999999999940026
"TN-T8A.N3A",11445012,6802252.89743102,16087771.102569,2.7498413546212e-09
"N3A-TP",511.555555556668,-4642247.54701343,4643270.65812454,1
"T8A-TP",1926.88888888992,-4640832.2136801,4644685.99145788,1
"WT.N3A-TP",3866.88888888992,-4638892.2136801,4646625.99145788,1
"WT.T8A-TP",25974.8888888899,-4616784.2136801,4668733.99145788,1
"WT-TP",76809.9999999992,-4565949.10256899,4719569.10256899,0.999999999941035
"TN-TP",11444825.3333333,6802066.23076435,16087584.4359023,2.75124190096676e-09
"T8A-N3A",1415.33333333326,-4641343.76923565,4644174.43590232,1
"WT.N3A-N3A",3355.33333333326,-4639403.76923565,4646114.43590232,1
"WT.T8A-N3A",25463.3333333333,-4617295.76923565,4668222.43590232,1
"WT-N3A",76298.4444444426,-4566460.65812454,4719057.54701343,0.999999999943728
"TN-N3A",11444313.7777778,6801554.67520879,16087072.8803468,2.75508249547585e-09
"WT.N3A-T8A",1940,-4640819.10256899,4644699.10256899,1
"WT.T8A-T8A",24048,-4618711.10256899,4666807.10256899,1
"WT-T8A",74883.1111111093,-4567875.99145788,4717642.2136801,0.999999999950648
"TN-T8A",11442898.4444444,6800139.34187546,16085657.5470134,2.76573641766475e-09
"WT.T8A-WT.N3A",22108,-4620651.10256899,4664867.10256899,1
"WT-WT.N3A",72943.1111111093,-4569815.99145788,4715702.2136801,0.999999999958937
"TN-WT.N3A",11440958.4444444,6798199.34187546,16083717.5470134,2.78040734880136e-09
"WT-WT.T8A",50835.1111111093,-4591923.99145788,4693594.2136801,0.999999999996772
"TN-WT.T8A",11418850.4444444,6776091.34187546,16061609.5470134,2.95321000987059e-09
"TN-WT",11368015.3333333,6725256.23076435,16010774.4359023,3.39251693404208e-09
